SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
66,UL,*Roger Clemens,Astros,500,'04,5,7,Starter,R,,1-,2-7,8-13,14-17,18-,19-22,-,23-24,-,25+
93,UL,**Jason Lane,Astros,310,'04,11,13,OF+1,R,R,-,1-,2-4,5-6,7-11,12-16,-,17-18,-,19+
94,UL,*Dan Miceli,Astros,290,'04,4,1,Reliever,R,,1-,2-7,8-13,14-16,17-,18-23,-,24-26,-,27+
96,UL,**Andy Pettitte,Astros,350,'04,4,7,Starter,L,20,1-2,3-7,8-13,14-16,17-,18-20,-,21-23,-,24+
98,UL,**Roger Clemens,Astros,500,'04,5,7,Starter,R,,1-,2-6,7-11,12-17,18-,19-20,-,21-24,-,25+
109,UL,**Craig Biggio,Astros,420,'04,13,24,2B+4,R,SB S,-,1-2,3-5,6-7,8-10,11-14,15-17,18-19,-,20+
109,UL,*Jeff Kent,Astros,470,'04,11,11,2B+4,R,,-,1-,2-4,5-6,7-8,9-15,-,16-19,-,20+
119,UL,**Joe Morgan,Astros,470,'04,12,23,2B+4,L,V G SB S,-,1-,2-3,4-5,6-10,11-15,16-18,19-,20-22,23+
145,UL,Brad Ausmus,Astros,50,'04,9,11,C+8,R,,-,1-,2-4,5-6,7-10,11-18,-,19-20,-,21+
146,UL,Jeff Bagwell,Astros,340,'04,11,13,1B+0,R,,-,1-2,3-4,5-6,7-11,12-15,16-,17-18,-,19+
147,UL,Lance Berkman,Astros,270,'04,13,11,LF-RF+0,S,,-,1-2,3-5,6-7,8-12,13-17,-,18-19,-,20+
148,UL,Craig Biggio,Astros,110,'04,10,16,CF+1,R,,-,1-,2-4,5-6,7-10,11-17,-,18-20,-,21+
149,UL,Geoff Blum,Astros,140,'04,9,8,IF+1,S,,-,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
150,UL,Octavio Dotel,Astros,300,'04,6,1,Reliever,R,,1-3,4-10,11-15,16-18,19-,20-21,-,22-23,-,24+
151,UL,Morgan Ensberg,Astros,400,'04,11,12,3B+2,R,,-,1-,2-3,4-5,6-10,11-16,-,17-,-,18+
152,UL,Adam Everett,Astros,190,'04,9,12,SS+4,R,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
153,UL,Richard Hidalgo,Astros,430,'04,11,12,LF-RF+1,R,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
154,UL,Jeff Kent,Astros,450,'04,10,13,2B+3,R,,-,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
155,UL,Brad Lidge,Astros,180,'04,5,1,Reliever,R,R,1-,2-7,8-11,12-16,17-,18-19,-,20-25,-,26+
156,UL,Roy Oswalt,Astros,340,'04,2,6,Starter,R,,1-3,4-8,9-15,16-18,19-,20-,-,21-23,-,24+
157,UL,Jeriome Robertson,Astros,10,'04,5,5,Starter,L,R,1-2,3-6,7-0,11-12,13-14,15-17,-,18-,-,19+
158,UL,Billy Wagner,Astros,270,'04,6,1,Closer,L,,1-,2-8,9-13,14-17,18-,19-22,-,23-24,-,25+
2,UL,*Bobby Crosby,Athletics,10,'04,9,13,SS+3,R,R,-,1-4,5-6,7-9,10-12,13-17,-,18-,-,19+
2,P,Barry Zito,Athletics,530,'04,4,7,Starter,L,,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+
13,UL,**Bobby Kielty,Athletics,90,'04,10,12,LF-RF+0,S,,-,1-2,3-4,5-6,7-12,13-17,-,18-19,-,20+
15,UL,**Arthur Rhodes,Athletics,100,'04,3,1,Reliever,L,,1-3,4-8,9-14,15-16,17-18,19-,-,20-23,-,24+
26,UL,*Marco Scutaro,Athletics,200,'04,10,13,"2B+3, SS+3",R,R,-,1-,2-4,5-6,7-0,8-17,-,18-20,-,21+
31,UL,*Mark Mulder,Athletics,450,'04,5,7,Starter,L,,1-,2-6,7-13,14-16,17-,18-19,-,20-25,-,26+
33,UL,**Eric Karros,Athletics,160,'04,10,12,1B+0,R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
34,UL,**Mark Kotsay,Athletics,160,'04,10,11,CF+2,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
46,UL,*Eric Chavez,Athletics,360,'04,10,13,LF-RF+2,L,,-,1-,2-3,4-5,6-11,12-16,-,17-,-,18+
84,UL,**Rich Harden,Athletics,140,'04,2,6,Starter,R,R,1-3,4-9,10-14,15-18,19-,20-,-,21-25,-,26+
239,UL,Chad Bradford,Athletics,120,'04,3,1,Reliever,R,,1-2,3-6,7-15,16-,17-,18-19,-,20-24,-,25+
240,UL,Eric Byrnes,Athletics,200,'04,9,12,CF+1,R,R,-,1-,2-3,4-5,6-9,10-14,15-,16-18,19-,20+
241,UL,Mark Ellis,Athletics,110,'04,9,11,2B+4,R,,-,1-,2-3,4-6,7-10,11-17,-,18-19,-,20+
242,UL,Keith Foulke,Athletics,240,'04,6,1,Closer,R,RP,1-3,4-9,10-13,14-17,-,18-19,-,20-23,-,24+
243,UL,Scott Hatteberg,Athletics,90,'04,10,8,1B+1,L,,-,1-,2-5,6-7,8-11,12-17,-,18-19,-,20+
244,UL,Ramon Hernandez,Athletics,260,'04,9,11,C+7,R,,-,1-,2-3,4-5,6-8,9-16,-,17-18,-,19+
245,UL,Tim Hudson,Athletics,640,'04,5,8,Starter,R,,1-,2-5,6-14,15-17,18-,19-22,-,23-25,-,26+
246,UL,Terrence Long,Athletics,70,'04,9,16,OF+1,L,,-,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
247,UL,Mark Mulder,Athletics,390,'04,4,7,Starter,L,,1-,2-5,6-13,14-16,17-,18-19,-,20-25,-,26+
248,UL,Ricardo Rincon,Athletics,80,'04,2,1,Reliever,L,,1-2,3-5,6-11,12-15,16-17,18-19,-,20-25,-,26+
249,UL,Chris Singleton,Athletics,10,'04,9,12,OF+0,L,,-,1-2,3-5,6-7,8-10,11-16,-,17-20,-,21+
250,UL,Miguel Tejada,Athletics,360,'04,10,12,SS+2,R,,-,1-,2-3,4-5,6-8,9-14,15-,16-18,-,19+
251,UL,Barry Zito,Athletics,530,'04,4,7,Starter,L,,1-2,3-6,7-12,13-17,18-,19-22,-,23-25,-,26+
4,P,Carlos Delgado,Blue Jays,570,'04,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
38,UL,**Howie Clark,Blue Jays,170,'04,11,10,IF+1,L,R,-,1-,2-5,6-8,9-,10-19,-,20-,-,21+
42,UL,**Reed Johnson,Blue Jays,190,'04,10,11,OF+0,R,,-,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
43,UL,**Aquilino Lopez,Blue Jays,190,'04,4,1,Reliever,R,R,1-2,3-7,8-11,12-16,17-18,19-21,-,22-23,-,24+
48,P,Tom Wilson,Blue Jays,60,'04,9,11,"C+5, 1B+0",R,,-,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
53,UL,**Pat Hentgen,Blue Jays,220,'04,3,6,Starter,R,,1-3,4-6,7-13,14-16,17-18,19-,-,20-24,-,25+
71,UL,**Ted Lilly,Blue Jays,340,'04,3,6,Starter,L,,1-,2-5,6-10,11-16,17-,18-21,-,22-23,-,24+
91,UL,*Kevin Cash,Blue Jays,150,'04,9,8,C+9,R,R,-,1-2,3-5,6-7,8-9,10-15,-,16-19,-,20+
115,UL,**Roger Clemens,Blue Jays,700,'04,5,8,Starter,R,20 CY K,1-2,3-8,9-15,16-17,18-,19-22,-,23-25,-,26+
338,UL,Frank Catalanotto,Blue Jays,200,'04,10,9,LF-RF+0,L,,-,1-,2-4,5-6,7-9,10-16,-,17-19,-,20+
339,UL,Carlos Delgado,Blue Jays,570,'04,13,10,1B+1,L,HR S,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
340,UL,Kelvim Escobar,Blue Jays,80,'04,2,5,Starter,R,,1-3,4-8,9-15,16-,17-,18-19,-,20-21,-,22+
341,UL,Roy Halladay,Blue Jays,500,'04,5,8,Starter,R,20 CY,1-2,3-8,9-15,16-17,-,18-20,-,21-23,-,24+
342,UL,Eric Hinske,Blue Jays,110,'04,9,14,3B+0,L,,-,1-2,3-4,5-6,7-11,12-14,15-,16-19,-,20+
343,UL,Orlando Hudson,Blue Jays,180,'04,9,11,2B+4,S,,-,1-,2-4,5-6,7-9,10-16,-,17-18,19-,20+
344,UL,Greg Myers,Blue Jays,210,'04,11,8,C+4,L,,-,1-2,3-5,6-,7-10,11-17,-,18-19,-,20+
345,UL,Josh Phelps,Blue Jays,300,'04,10,9,DH,R,,-,1-2,3-4,5-,6-9,10-16,-,17-18,-,19+
346,UL,Cliff Politte,Blue Jays,100,'04,3,1,Closer,R,,1-2,3-6,7-11,12-15,16-,17-18,-,19-24,-,25+
347,UL,Vernon Wells,Blue Jays,610,'04,12,12,CF+2,R,S,-,1-,2-3,4-5,6-7,8-15,-,16-18,-,19+
348,UL,Chris Woodward,Blue Jays,70,'04,9,12,SS+3,R,,-,1-2,3-4,5-7,8-10,11-16,-,17-19,-,20+
3,UL,*Russ Ortiz,Braves,360,'04,4,7,Starter,R,,1-4,5-9,10-14,15-16,17-,18-19,-,20-25,-,26+
8,P,Greg Maddux,Braves,350,'04,4,6,Starter,R,,1-,2-4,5-13,14-17,-,18-19,-,20-24,-,25+
9,UL,*Adam LaRoche,Braves,60,'04,9,12,1B+1,L,R,-,1-2,3-5,6-7,8-10,11-16,-,17-19,-,20+
20,UL,*John Smoltz,Braves,170,'04,6,1,Reliever,R,,1-,2-8,9-13,14-16,-,17-18,-,19-20,-,21+
22,P,Rafael Furcal,Braves,360,'04,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
22,UL,Vinny Castilla,Braves,230,'04,9,9,3B+2,R,,-,1-,2-4,5-6,7-8,9-16,-,17-18,-,19+
23,UL,Robert Fick,Braves,190,'04,9,9,1B+1,L,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
24,UL,Rafael Furcal,Braves,360,'04,10,20,SS+4,S,,-,1-,2-4,5-6,7-9,10-14,15-16,17-18,19-,20+
25,UL,**Horacio Ramirez,Braves,140,'04,2,6,Starter,L,R,1-,2-4,5-10,11-16,17-,18-19,-,20-23,-,24+
25,UL,Marcus Giles,Braves,440,'04,12,14,2B+4,R,,-,1-,2-4,5-6,7-9,10-15,16-,17-19,-,20+
26,UL,Andruw Jones,Braves,300,'04,9,10,CF+3,R,G,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
27,UL,Chipper Jones,Braves,280,'04,13,9,LF-RF+0,S,,-,1-,2-4,5-7,8-12,13-17,-,18-19,-,20+
28,UL,Ray King,Braves,190,'04,4,1,Reliever,L,,1-3,4-7,8-15,16-17,18-,19-23,-,24-26,-,27+
29,P,Darren Bragg,Braves,40,'04,9,11,OF+1,L,,-,1-2,3-4,5-6,7-9,10-18,-,19-,-,20+
29,UL,Javy Lopez,Braves,680,'04,12,10,C+7,R,S,-,1-2,3-4,5-6,7-9,10-15,-,16-17,-,18+
30,UL,Greg Maddux,Braves,350,'04,4,6,Starter,R,,1-,2-4,5-13,14-17,-,18-19,-,20-24,-,25+
31,UL,Russ Ortiz,Braves,290,'04,3,6,Starter,R,20,1-4,5-8,9-14,15-16,17-,18-19,-,20-25,-,26+
32,UL,Gary Sheffield,Braves,510,'04,13,16,LF-RF+1,R,S,-,1-,2-4,5-6,7-10,11-15,16-,17-18,-,19+
50,UL,*Johnny Estrada,Braves,390,'04,12,11,C+6,S,,-,1-,2-4,5-7,8-10,11-16,-,17-19,-,20+
60,UL,*J.D. Drew,Braves,480,'04,13,16,LF-RF+2,L,,-,1-2,3-4,5-6,7-12,13-16,-,17-18,19-,20+
86,UL,*C.J. Nitkowski,Braves,90,'04,1,1,Reliever,L,,1-,2-6,7-14,15-17,18-19,20-22,-,23-24,-,25+
110,UL,**Tom Glavine,Braves,420,'04,4,7,Starter,L,20 CY,1-,2-5,6-12,13-17,18-,19-,-,20-24,-,25+
114,UL,**Greg Maddux,Braves,670,'04,6,7,Starter,R,CY,1-2,3-7,8-15,16-17,-,18-19,-,20-23,-,24+
123,CC,*Eddie Mathews,Braves,600,'04,13,13,3B+2,L,HR,-,1-3,4-,5-6,7-11,12-16,-,17-,-,18+
124,UL,**Warren Spahn,Braves,650,'04,6,9,Starter,L,CY,1-3,4-9,10-15,16-17,18-,19-20,-,21-22,-,23+
25,UL,*Dan Kolb,Brewers,290,'04,6,1,Closer,R,,1-3,4-9,10-15,16-17,-,18-24,-,25-26,-,27+
26,P,Brady Clark,Brewers,100,'04,9,14,LF-RF+2,R,R,-,1-,2-4,5-6,7-9,10-15,16-,17-19,-,20+
79,UL,*Lyle Overbay,Brewers,400,'04,12,11,1B+1,L,,-,1-,2-4,5-6,7-8,9-14,-,15-18,-,19+
83,UL,*Luis Vizcaino,Brewers,10,'04,1,1,Reliever,R,,1-3,4-8,9-12,13-14,15-16,17-18,-,19-22,-,23+
85,UL,**Lyle Overbay,Brewers,210,'04,10,9,1B+1,L,,-,1-2,3-4,5-,6-10,11-16,-,17-19,-,20+
110,UL,*Ben Sheets,Brewers,480,'04,5,7,Starter,R,,1-2,3-6,7-13,14-16,17-,18-20,-,21-23,-,24+
116,UL,**Rollie Fingers,Brewers,330,'04,5,2,Reliever,R,V CY RP,1-2,3-10,11-14,15-16,17-18,19-20,-,21-26,-,27+
186,UL,Royce Clayton,Brewers,10,'04,9,16,SS+2,R,,-,1-2,3-5,6-7,8-11,12-18,-,19-,-,20+
187,UL,Keith Ginter,Brewers,290,'04,10,9,"2B+1, 3B+0",R,,-,1-2,3-0,4-5,6-9,10-16,-,17-18,-,19+
188,UL,Wes Helms,Brewers,220,'04,9,8,3B+1,R,,-,1-,2-3,4-5,6-9,10-16,-,17-18,-,19+
189,UL,Geoff Jenkins,Brewers,340,'04,11,8,LF-RF+0,L,,-,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
190,UL,Brooks Kieschnick,Brewers,10,'04,1,1,Reliever,R,R,1-2,3-6,7-14,15-16,17-,18-19,-,20-25,-,26+
191,UL,Eddie Perez,Brewers,50,'04,9,8,C+5,R,,-,1-,2-5,6-7,8-9,10-17,-,18-19,-,20+
192,UL,Scott Podsednik,Brewers,360,'04,12,23,CF+2,L,SB R,-,1-,2-4,5-6,7-9,10-14,15-18,19-,20-,21+
193,UL,Richie Sexson,Brewers,360,'04,11,10,1B+0,R,HR,-,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
194,UL,Ben Sheets,Brewers,310,'04,4,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-23,-,24+
195,UL,John Vander Wal,Brewers,90,'04,10,9,LF-RF+1,L,,-,1-3,4-5,6-7,8-11,12-16,-,17-19,-,20+
4,UL,*Jason Simontacchi,Cardinals,10,'04,1,1,Reliever,R,,1-4,-,5-11,12-13,14-15,16-17,-,18-19,-,20+
10,P,Jason Isringhausen,Cardinals,230,'04,5,1,Closer,R,,1-,2-7,8-14,15-17,18-,19-23,-,24-26,-,27+
17,UL,*Edgar Renteria,Cardinals,310,'04,11,16,SS+2,R,,-,1-,2-4,5-6,7-10,11-14,15-17,18-19,-,20+
36,UL,*Ray Lankford,Cardinals,280,'04,12,8,OF+2,L,,-,1-3,4-5,6-7,8-12,13-16,-,17-19,-,20+
42,UL,*Albert Pujols,Cardinals,590,'04,13,11,1B+1,R,,-,1-0,2-4,5-,6-12,13-16,-,17-,-,18+
44,UL,**Julian Tavarez,Cardinals,190,'04,4,1,Reliever,R,,1-5,6-8,9-14,15-16,17-,18-22,-,23-25,-,26+
65,UL,*Scott Rolen,Cardinals,560,'04,12,11,3B+3,R,,-,1-2,3-4,5-7,8-10,11-16,-,17-,-,18+
68,UL,**Matt Morris,Cardinals,310,'04,4,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+
79,UL,**Scott Rolen,Cardinals,490,'04,11,14,3B+3,R,G,-,1-,2-3,4-5,6-10,11-14,15-,16-18,-,19+
80,UL,**Jim Edmonds,Cardinals,510,'04,11,15,CF+3,L,G,-,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
118,UL,**Lou Brock,Cardinals,360,'04,11,28,LF-RF+1,L,SB S,-,1-2,3-4,5-6,7-8,9-14,15-17,18-,19-23,24+
122,UL,**Bob Gibson,Cardinals,610,'04,5,9,Starter,R,V CY,1-2,3-10,11-14,15-16,17-19,20-22,-,23-28,-,29+
122,CC,*Orlando Cepeda,Cardinals,480,'04,12,12,1B+1,R,V,-,1-2,3-4,5-6,7-10,11-17,-,18-,-,19+
307,UL,J. D. Drew,Cardinals,300,'04,11,12,LF-RF+2,L,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
308,UL,Jeff Fassero,Cardinals,50,'04,2,2,Reliever,L,,1-,2-5,6-11,12-14,15-,16-18,-,19-22,-,23+
309,UL,Bo Hart,Cardinals,150,'04,9,12,2B+4,R,R,-,1-2,3-4,5-6,7-8,9-17,-,18-,19-,20+
310,UL,Jason Isringhausen,Cardinals,230,'04,5,1,Closer,R,,1-,2-7,8-14,15-17,18-,19-23,-,24-26,-,27+
311,UL,Tino Martinez,Cardinals,130,'04,10,9,1B+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
312,UL,Mike Matheny,Cardinals,110,'04,9,9,C+11,R,G,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
313,UL,Orlando Palmeiro,Cardinals,40,'04,9,12,LF-RF+2,L,,-,1-,2-4,5-6,7-9,10-18,-,19-20,-,21+
314,UL,Albert Pujols,Cardinals,810,'04,14,11,"LF-RF+1, 1B+0",R,S,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
315,UL,Edgar Renteria,Cardinals,530,'04,12,21,SS+5,R,G S,-,1-,2-4,5-6,7-9,10-14,15-17,18-19,-,20+
316,UL,Garrett Stephenson,Cardinals,30,'04,3,5,Starter,R,,1-2,3-5,6-10,11-15,16-,17-18,-,19-22,-,23+
317,UL,Woody Williams,Cardinals,350,'04,4,6,Starter,R,,1-4,5-8,9-14,15-17,-,18-19,-,20-24,-,25+
7,UL,*Joe Borowski,Cubs,40,'04,1,1,Closer,R,,1-3,4-8,9-12,13-15,16-17,18-23,-,24-27,-,28+
18,P,Mike Remlinger,Cubs,140,'04,3,1,Reliever,L,,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+
19,P,Moises Alou,Cubs,190,'04,10,12,LF-RF+0,R,,-,1-,2-3,4-5,6-10,11-17,-,18-19,-,20+
29,UL,**Michael Barrett,Cubs,160,'04,9,10,C+8,R,,-,1-,2-4,5-6,7-10,11-16,-,17-18,-,19+
33,P,Hee Seop Choi,Cubs,100,'04,11,10,1B+1,L,,-,1-3,4-5,6-,7-12,13-16,-,17-19,-,20+
46,P,Shawn Estes,Cubs,80,'04,5,5,Starter,L,,1-,2-4,5-8,9-10,11-13,14-19,-,20-23,-,24+
50,P,Troy O'Leary,Cubs,50,'04,12,11,LF-RF+1,L,,-,1-3,4-7,8-9,10-12,13-17,-,18-19,-,20+
52,UL,**LaTroy Hawkins,Cubs,220,'04,5,1,Reliever,R,,1-4,5-9,10-14,15-16,17-,18-22,-,23-25,-,26+
55,UL,**Todd Walker,Cubs,220,'04,9,11,2B+2,L,,-,1-,2-3,4-5,6-8,9-16,-,17-19,-,20+
58,UL,Antonio Alfonseca,Cubs,40,'04,1,1,Reliever,R,,1-,2-5,6-14,15-16,17-18,19-22,-,23-24,-,25+
59,UL,Moises Alou,Cubs,190,'04,10,12,LF-RF+0,R,,-,1-,2-3,4-5,6-10,11-17,-,18-19,-,20+
60,UL,Paul Bako,Cubs,60,'04,9,8,C+7,L,,-,1-,2-3,4-5,6-10,11-16,-,17-19,20-,21+
61,UL,Alex Gonzalez,Cubs,180,'04,9,14,SS+2,R,,-,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
62,UL,Tom Goodwin,Cubs,110,'04,10,21,CF+1,L,,-,1-,2-4,5-,6-8,9-16,17-18,19-20,-,21+
63,UL,*Kerry Wood,Cubs,490,'04,5,7,Starter,R,,1-,2-8,9-13,14-16,17-,18-19,-,20-25,-,26+
63,UL,Mark Grudzielanek,Cubs,200,'04,11,11,2B+2,R,,-,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
64,UL,Eric Karros,Cubs,110,'04,10,9,1B+0,R,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
65,UL,Kenny Lofton,Cubs,110,'04,9,20,CF+1,L,,-,1-,2-4,5-6,7-9,10-16,17-,18-19,-,20+
66,UL,Ramon Martinez,Cubs,110,'04,10,11,IF+0,R,,-,1-2,3-4,5-6,7-10,11-17,-,18-21,22-,23+
67,UL,Corey Patterson,Cubs,380,'04,10,15,CF+1,L,,-,1-2,3-4,5-6,7-,8-14,15-,16-17,18-,19+
68,UL,*Matt Clement,Cubs,570,'04,5,6,Starter,R,,-,1-6,7-14,15-17,18-,19-,-,20-26,-,27+
68,UL,Mark Prior,Cubs,670,'04,5,7,Starter,R,K,1-2,3-10,11-14,15-18,19-,20-,-,21-25,-,26+
69,UL,**Derrek Lee,Cubs,330,'04,11,18,1B+1,R,G,-,1-2,3-4,5-6,7-11,12-15,16-,17-18,-,19+
69,UL,Aramis Ramirez,Cubs,280,'04,10,11,3B+1,R,,-,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
70,UL,Mike Remlinger,Cubs,140,'04,3,1,Reliever,L,,1-3,4-9,10-14,15-16,17-18,19-21,-,22-23,-,24+
71,UL,Sammy Sosa,Cubs,450,'04,10,10,LF-RF+1,R,,-,1-2,3-,4-5,6-9,10-15,-,16-17,-,18+
72,UL,Kerry Wood,Cubs,410,'04,4,7,Starter,R,K,-,1-7,8-12,13-16,17-18,19-,-,20-23,-,24+
73,UL,Carlos Zambrano,Cubs,330,'04,3,7,Starter,R,,1-0,2-5,6-13,14-16,17-,18-19,-,20-26,-,27+
95,UL,**Greg Maddux,Cubs,340,'04,4,6,Starter,R,,1-3,4-6,7-14,15-17,-,18-19,-,20-22,-,23+
111,UL,*Sammy Sosa,Cubs,480,'04,11,11,LF-RF+1,R,,-,1-3,4-,5-,6-11,12-16,-,17-,-,18+
116,CC,*Billy Williams,Cubs,440,'04,11,16,LF-RF+0,L,S,-,1-2,3-4,5-6,7-10,11-14,15-,16-17,18-,19+
3,UL,**Rey Sanchez,Devil Rays,10,'04,9,16,SS+3,R,,-,1-,2-5,6-7,8-9,10-19,-,20-,-,21+
23,UL,**Tino Martinez,Devil Rays,140,'04,10,10,1B+0,L,,-,1-,2-4,5-6,7-10,11-17,-,18-19,-,20+
30,UL,**Jose Cruz,Devil Rays,200,'04,11,14,LF-RF+2,R,G,-,1-2,3-4,5-6,7-12,13-17,-,18-19,-,20+
31,UL,**Robert Fick,Devil Rays,160,'04,9,11,LF-RF+1,L,,-,1-,2-3,4-5,6-9,10-16,-,17-19,-,20+
92,UL,*Danys Baez,Devil Rays,260,'04,5,1,Reliever,R,,1-,2-6,7-12,13-17,18-19,20-23,-,24-27,-,28+
108,UL,*Carl Crawford,Devil Rays,470,'04,11,22,LF-RF+2,L,,-,1-,2-4,5-6,7-9,10-13,14-15,16-17,18-19,20+
114,UL,*Carl Pavano,Devil Rays,560,'04,5,7,Starter,R,,1-3,4-7,8-13,14-17,-,18-19,-,20-25,-,26+
318,UL,Rocco Baldelli,Devil Rays,290,'04,10,18,CF+3,R,,-,1-2,3-4,5-6,7-8,9-15,16-18,19-20,21-,22+
319,UL,Lance Carter,Devil Rays,140,'04,2,1,Closer,R,,1-,2-4,5-9,10-18,19-,20-,-,21-23,-,24+
320,UL,Carl Crawford,Devil Rays,140,'04,9,24,LF-RF+2,L,SB,-,1-,2-4,5-6,7-8,9-14,15-18,19-,20-,21+
321,UL,Toby Hall,Devil Rays,130,'04,9,8,C+9,R,,-,1-,2-3,4-6,7-8,9-17,-,18-19,-,20+
322,UL,Travis Harper,Devil Rays,160,'04,3,2,Reliever,R,,1-,2-5,6-13,14-16,17-18,19-22,-,23-24,-,25+
323,UL,Aubrey Huff,Devil Rays,490,'04,11,9,LF-RF+1,L,,-,1-,2-4,5-6,7-9,10-15,-,16-18,-,19+
