Name,Team,SetNumber,Ed,Pts,Yr,OB_C,Spd_IP,Pos,H,Icon,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
Tim Salmon,Angels,12,UL,10,'05,9,9,DH,R,,,1-2,3-4,5-7,8-10,11-18,-,19-20,-,21+
Roger Clemens,Astros,143,UL,520,'05,5,6,Starter,R,CY,1-2,3-7,8-13,14-16,17-,18-19,-,20-25,-,26+
Roy Oswalt,Astros,152,UL,490,'05,4,8,Starter,R,20,1-2,3-7,8-13,14-17,18-,19-20,-,21-25,-,26+
Lance Berkman,Astros,141,UL,470,'05,14,12,LF-RF+0,S,,,1-2,3-4,5-6,7-12,13-17,-,18-,-,19+
Jeff Kent,Astros,147,UL,430,'05,10,12,2B+2,R,,,1-,2-3,4-6,7-9,10-15,-,16-17,18-,19+
Carlos Beltran,Astros,140,UL,420,'05,11,22,CF+2,S,,,1-,2-3,4-6,7-11,12-,13-16,17-18,-,19+
Jeff Bagwell,Astros,139,UL,320,'05,11,12,1B+0,R,,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Craig Biggio,Astros,142,UL,310,'05,9,15,OF+0,R,,,1-,2-3,4-5,6-8,9-15,-,16-18,-,19+
Wade Miller,Astros,151,UL,300,'05,3,6,Starter,R,,1-,2-6,7-11,12-16,17-,18-19,-,20-23,-,24+
Brad Lidge,Astros,149,UL,250,'05,5,1,Closer,R,,1-2,3-12,13-15,16-18,19-,20-22,-,23-24,-,25+
Mike Lamb,Astros,148,UL,220,'05,10,9,3B+2,L,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Dan Miceli,Astros,150,UL,180,'05,4,1,Reliever,R,,1-2,3-8,9-13,14-16,17-18,19-21,-,22-23,-,24+
Adam Everett,Astros,145,UL,130,'05,9,14,SS+2,R,,,1-,2-3,4-6,7-8,9-16,17-,18-19,-,20+
**John Franco,Astros,111,UL,100,'05,2,1,Reliever,L,,1-,2-5,6-13,14-16,17-,18-19,-,20-23,-,24+
Morgan Ensberg,Astros,144,UL,100,'05,9,12,3B+0,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
**Russ Springer,Astros,66,UL,50,'05,1,1,Reliever,R,,1-4,5-7,8-11,12-16,17-,18-19,-,20-26,-,27+
**Orlando Palmeiro,Astros,58,UL,40,'05,10,10,LF-RF+1,L,,,1-,2-3,4-6,7-11,12-18,-,19-,-,20+
**Jose Vizcaino,Astros,136,UL,10,'05,9,10,SS+2,S,,,1-,2-5,6-8,9-10,11-18,-,19-20,-,21+
Brad Ausmus,Astros,138,UL,10,'05,9,10,C+6,R,,,1-,2-4,5-7,8-10,11-18,-,19-,-,20+
Brad Ausmus,Astros,138,UL,10,'05,9,10,C+6,R,,,1-,2-4,5-7,8-10,11-18,-,19-,-,20+
Mike Gallo,Astros,146,UL,10,'05,1,1,Reliever,L,R,1-,2-5,6-12,13-15,16-,17-18,-,19-21,-,22+
**Rich Harden,Athletics,30,UL,480,'05,5,7,Starter,R,,1-,2-4,5-12,13-16,17-,18-20,-,21-25,-,26+
Mark Mulder,Athletics,238,UL,400,'05,4,7,Starter,L,,1-,2-5,6-14,15-17,18-,19-,-,20-24,-,25+
Eric Chavez,Athletics,231,UL,360,'05,12,12,3B+3,L,G,,1-2,3-4,5-6,7-12,13-17,-,18-,-,19+
Mark Kotsay,Athletics,237,UL,350,'05,11,16,CF+1,L,,,1-,2-3,4-6,7-9,10-16,-,17-19,-,20+
Erubiel Durazo,Athletics,233,UL,320,'05,12,10,1B+0,L,,,1-2,3-4,5-6,7-10,11-17,-,18-19,-,20+
**Octavio Dotel,Athletics,24,UL,290,'05,5,1,Closer,R,,1-2,3-10,11-13,14-17,18-,19-,-,20-24,-,25+
Eric Byrnes,Athletics,230,UL,260,'05,10,16,OF+1,R,,,1-2,3-,4-6,7-9,10-15,16-,17-19,-,20+
**Jason Kendall,Athletics,42,UL,250,'05,12,13,C+6,R,,,1-,2-5,6-7,8-10,11-17,18-,19-20,-,21+
Bobby Crosby,Athletics,232,UL,230,'05,9,12,SS+4,R,RY R,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
Jermaine Dye,Athletics,234,UL,170,'05,9,10,LF-RF+0,R,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Marco Scutaro,Athletics,240,UL,160,'05,9,8,2B+3,R,,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
Barry Zito,Athletics,241,UL,160,'05,2,6,Starter,L,,1-3,4-7,8-12,13-16,17-,18-19,-,20-23,-,24+
Ricardo Rincon,Athletics,239,UL,120,'05,2,1,Reliever,L,,1-2,3-7,8-13,14-17,18-,19-23,-,24-26,-,27+
Bobby Kielty,Athletics,236,UL,100,'05,9,11,LF-RF+0,S,,,1-,2-3,4-5,6-11,12-16,-,17-18,-,19+
Scott Hatteberg,Athletics,235,UL,80,'05,11,8,1B+0,L,,,1-,2-4,5-7,8-11,12-18,-,19-20,-,21+
Roy Halladay,Blue Jays,343,UL,320,'05,3,6,Starter,R,,1-,2-5,6-13,14-16,17-,18-22,-,23-24,-,25+
**Corey Koskie,Blue Jays,160,UL,300,'05,10,12,3B+1,L,,,1-2,3-4,5-6,7-10,11-15,-,16-18,-,19+
Carlos Delgado,Blue Jays,342,UL,300,'05,11,8,1B+1,L,,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Vernon Wells,Blue Jays,348,UL,280,'05,9,12,CF+3,R,G,,1-,2-3,4-5,6-9,10-15,-,16-18,-,19+
**David Bush,Blue Jays,132,UL,270,'05,4,6,Starter,R,,1-3,4-7,8-13,14-16,17-,18-19,-,20-23,-,24+
Reed Johnson,Blue Jays,346,UL,210,'05,9,12,LF-RF+1,R,R,,1-,2-4,5-,6-7,8-16,-,17-19,-,20+
**Gregg Zaun,Blue Jays,98,UL,190,'05,11,10,C+4,S,,,1-2,3-5,6-,7-11,12-17,-,18-19,-,20+
Gregg Zaun,Blue Jays,205,UL,170,'05,11,8,C+6,S,,,1-2,3-5,6-,7-11,12-17,-,18-19,-,20+
**Alexis Rios,Blue Jays,118,UL,160,'05,10,14,LF-RF+1,R,,,1-2,3-5,6-,7-9,10-16,17-,18-19,20-,21+
Justin Speier,Blue Jays,347,UL,160,'05,3,1,Reliever,R,,1-3,4-8,9-13,14-17,18-,19-22,-,23-24,-,25+
Orlando Hudson,Blue Jays,345,UL,130,'05,10,12,2B+4,S,,,1-2,3-5,6-7,8-11,12-17,-,18-19,20-,21+
Chris Woodward,Blue Jays,201,UL,70,'05,9,14,SS+2,R,,,1-2,3-4,5-6,7-9,10-16,-,17-19,20-,21+
Frank Catalanotto,Blue Jays,341,UL,60,'05,10,9,LF-RF+0,L,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
Eric Hinske,Blue Jays,344,UL,50,'05,9,13,3B+0,L,,,1-2,3-5,6-7,8-11,12-16,17-,18-19,-,20+
Miguel Batista,Blue Jays,340,UL,40,'05,1,5,Starter,R,,1-2,3-5,6-13,14-16,17-,18-19,-,20-24,-,25+
J.D. Drew,Braves,23,UL,580,'05,14,13,LF-RF+1,L,,,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
**Tim Hudson,Braves,95,UL,520,'05,5,7,Starter,R,,1-,2-7,8-11,12-16,17-18,19-,-,20-24,-,25+
Jaret Wright,Braves,33,UL,420,'05,4,6,Starter,R,,1-,2-6,7-12,13-16,17-,18-19,-,20-26,-,27+
Johnny Estrada,Braves,24,UL,360,'05,11,8,C+4,S,S,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
Marcus Giles,Braves,27,UL,310,'05,11,16,2B+4,R,,,1-2,3-4,5-6,7-9,10-16,17-,18-19,-,20+
John Thomson,Braves,32,UL,290,'05,3,6,Starter,R,,1-2,3-6,7-13,14-16,17-,18-19,-,20-24,-,25+
Andruw Jones,Braves,28,UL,260,'05,10,15,CF+3,R,G,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Eli Marrero,Braves,30,UL,250,'05,12,10,LF-RF+1,R,,,1-2,3-4,5-7,8-10,11-17,-,18-19,-,20+
Rafael Furcal,Braves,26,UL,240,'05,10,20,SS+4,S,,,1-,2-4,5-6,7-10,11-15,16-17,18-19,-,20+
John Smoltz,Braves,31,UL,220,'05,5,1,Closer,R,,1-3,4-9,10-15,16-17,18-,19-22,-,23-24,-,25+
Chipper Jones,Braves,29,UL,200,'05,10,10,3B+1,S,,,1-,2-3,4-5,6-12,13-17,-,18-,-,19+
Julio Franco,Braves,25,UL,180,'05,11,10,1B+1,R,,,1-2,3-5,6-,7-10,11-17,-,18-19,-,20+
Antonio Alfonseca,Braves,22,UL,160,'05,3,1,Reliever,R,,1-2,3-5,6-14,15-16,17-18,19-22,-,23-25,-,26+
**Raul Mondesi,Braves,151,UL,50,'05,9,10,LF-RF+0,R,,,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
**Brian Jordan,Braves,164,UL,50,'05,9,10,LF-RF+2,R,,,1-,2-4,5-7,8-10,11-16,-,17-19,-,20+
Mark Derosa,Braves,2,P,10,'05,9,9,3B+0,R,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
Ben Sheets,Brewers,196,UL,510,'05,5,7,Starter,R,K,1-2,3-8,9-14,15-17,-,18-19,-,20-24,-,25+
**Carlos Lee,Brewers,5,UL,460,'05,11,13,LF-RF+1,R,,,1-,2-3,4-6,7-9,10-15,16-,17-18,-,19+
Doug Davis,Brewers,177,UL,320,'05,3,6,Starter,L,,1-,2-5,6-12,13-16,17-,18-19,-,20-25,-,26+
Lyle Overbay,Brewers,183,UL,300,'05,11,10,1B+0,L,,,1-2,3-4,5-6,7-10,11-16,-,17-19,-,20+
Brady Clark,Brewers,175,UL,250,'05,11,15,LF-RF+2,R,,,1-,2-3,4-5,6-10,11-16,17-,18-19,-,20+
Dan Kolb,Brewers,181,UL,230,'05,5,1,Closer,R,,1-2,3-4,5-15,16-,17-,18-23,-,24-26,-,27+
Geoff Jenkins,Brewers,179,UL,190,'05,9,10,LF-RF+0,L,,,1-2,3-4,5-6,7-10,11-16,-,17-18,-,19+
Victor Santos,Brewers,185,UL,140,'05,2,5,Starter,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+
Scott Podsednik,Brewers,184,UL,130,'05,9,24,CF+1,L,SB,,1-,2-4,5-6,7-10,11-14,15-17,18-19,-,20+
Brooks Kieschnick,Brewers,180,UL,110,'05,3,1,Reliever,R,,1-,2-5,6-12,13-16,17-,18-19,-,20-23,-,24+
Bill Hall,Brewers,178,UL,80,'05,9,13,2B+1,R,,,1-3,4-5,6-7,8-9,10-15,16-17,18-19,-,20+
Jeff Bennett,Brewers,173,UL,60,'05,2,1,Reliever,R,R,1-,2-4,5-11,12-16,17-,18-19,-,20-23,-,24+
Craig Counsell,Brewers,176,UL,10,'05,9,16,SS+2,L,,,1-,2-4,5-6,7-11,12-17,18-,19-20,-,21+
Chad Moeller,Brewers,182,UL,10,'05,9,8,C+6,R,,,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
Wes Helms,Brewers,197,UL,10,'05,9,8,3B+1,R,,,1-2,3-4,5-6,7-10,11-18,-,19-,-,20+
Albert Pujols,Cardinals,311,UL,640,'05,13,11,1B+1,R,HR S,,1-,2-4,5-,6-10,11-16,-,17-18,-,19+
Scott Rolen,Cardinals,313,UL,570,'05,13,10,3B+3,R,G,,1-2,3-4,5-6,7-11,12-16,-,17-18,-,19+
Jim Edmonds,Cardinals,306,UL,480,'05,13,12,CF+3,L,G S,,1-3,4-5,6-7,8-12,13-16,-,17-18,-,19+
Chris Carpenter,Cardinals,305,UL,450,'05,5,7,Starter,R,,1-3,4-7,8-14,15-,16-,17-20,-,21-23,-,24+
**Mark Mulder,Cardinals,101,UL,400,'05,4,7,Starter,L,,1-,2-5,6-14,15-17,18-,19-,-,20-24,-,25+
Edgar Renteria,Cardinals,312,UL,340,'05,10,16,SS+4,R,,,1-,2-3,4-5,6-8,9-15,16-,17-19,-,20+
Larry Walker,Cardinals,316,UL,340,'05,13,12,LF-RF+0,L,,,1-2,3-5,6-7,8-12,13-16,-,17-18,-,19+
**Al Reyes,Cardinals,69,UL,330,'05,4,1,Reliever,R,,1-4,5-9,10-14,15-16,17-19,20-21,-,22-25,-,26+
**Mark Grudzielanek,Cardinals,114,UL,300,'05,11,10,2B+3,R,,,1-,2-4,5-6,7-8,9-17,-,18-19,-,20+
**Chris Carpenter,Cardinals,52,UL,270,'05,4,7,Starter,R,,,1-5,6-13,14-16,17-,18-19,-,20-23,-,24+
Ray King,Cardinals,308,UL,250,'05,5,1,Reliever,L,,1-2,3-6,7-14,15-17,18-,19-,-,20-27,-,28+
Woody Williams,Cardinals,317,UL,250,'05,3,6,Starter,R,,1-4,5-8,9-14,15-16,17-,18-19,-,20-24,-,25+
Tony Womack,Cardinals,318,UL,240,'05,11,19,2B+2,L,,,1-,2-4,5-6,7-8,9-16,17-18,19-20,-,21+
Jason Isringhausen,Cardinals,307,UL,230,'05,5,1,Closer,R,RP,1-3,4-8,9-15,16-17,18-,19-,-,20-25,-,26+
Reggie Sanders,Cardinals,314,UL,220,'05,9,18,LF-RF+0,R,,,1-2,3-4,5-6,7-9,10-14,15-,16-18,-,19+
Mike Matheny,Cardinals,309,UL,200,'05,9,8,C+10,R,G,,1-2,3-5,6-7,8-10,11-18,-,19-21,-,22+
Julian Tavarez,Cardinals,315,UL,180,'05,4,1,Reliever,R,,1-2,3-5,6-13,14-16,17-,18-19,-,20-27,-,28+
Matt Morris,Cardinals,310,UL,170,'05,3,6,Starter,R,,1-2,3-5,6-13,14-16,17-,18-,-,19-22,-,23+
**Jason Marquis,Cardinals,115,UL,130,'05,2,6,Starter,R,,1-2,3-6,7-14,15-16,17-,18-19,-,20-23,-,24+
**So Taguchi,Cardinals,38,UL,120,'05,10,11,LF-RF+0,R,,,1-,2-4,5-6,7-9,10-17,-,18-19,-,20+
**John Mabry,Cardinals,117,UL,120,'05,10,10,LF-RF+0,L,,,1-2,3-4,5-6,7-10,11-17,-,18-19,-,20+
**Jeff Suppan,Cardinals,144,UL,120,'05,2,6,Starter,R,,1-3,4-6,7-14,15-16,17-,18-19,-,20-23,-,24+
**David Eckstein,Cardinals,128,UL,110,'05,10,15,SS+0,R,,,1-,2-4,5-6,7-9,10-17,18-,19-20,-,21+
**Cal Eldred,Cardinals,56,UL,60,'05,3,1,Reliever,R,,1-2,3-6,7-11,12-15,16-,17-18,-,19-22,-,23+
**Einar Diaz,Cardinals,113,UL,10,'05,9,10,C+2,R,,,1-,2-4,5-6,7-10,11-18,-,19-20,-,21+
**Roger Cedeno,Cardinals,152,UL,10,'05,9,11,LF-RF+0,S,,,1-2,3-5,6-,7-10,11-18,-,19-,-,20+
Kerry Wood,Cubs,69,UL,600,'05,3,6,Starter,R,,1-2,3-9,10-14,15-19,-,20-,-,21-26,-,27+
Aramis Ramirez,Cubs,68,UL,450,'05,11,8,3B+0,R,,,1-,2-3,4-6,7-9,10-16,-,17-18,-,19+
**Glendon Rusch,Cubs,15,UL,400,'05,4,5,Starter,L,,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+
Michael Barrett,Cubs,58,UL,390,'05,10,9,C+6,R,,,-,1-3,4-5,6-8,9-15,-,16-18,19-,20+
Greg Maddux,Cubs,65,UL,380,'05,4,6,Starter,R,,1-2,3-6,7-14,15-17,18-,19-21,-,22-,-,23+
Matt Clement,Cubs,59,UL,370,'05,3,6,Starter,R,,1-,2-7,8-14,15-17,18-,19-21,-,22-23,-,24+
Moises Alou,Cubs,57,UL,330,'05,10,10,LF-RF+0,R,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
Derrek Lee,Cubs,64,UL,300,'05,10,13,1B+0,R,,,1-2,3-4,5-6,7-10,11-15,16-,17-18,-,19+
**Jeromy Burnitz,Cubs,82,UL,270,'05,10,11,LF-RF+0,L,,,1-2,3-4,5-7,8-11,12-16,-,17-18,-,19+
Todd Walker,Cubs,204,UL,260,'05,10,8,2B+1,L,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
Nomar Garciaparra,Cubs,61,UL,240,'05,11,12,SS+2,R,,,1-,2-3,4-6,7-9,10-17,-,18-19,-,20+
Todd Hollandsworth,Cubs,63,UL,230,'05,12,11,LF-RF+1,L,,,1-2,3-5,6-7,8-11,12-17,-,18-,-,19+
Corey Patterson,Cubs,67,UL,230,'05,9,20,CF+0,L,,,1-2,3-4,5-6,7-9,10-14,15-16,17-18,-,19+
LaTroy Hawkins,Cubs,62,UL,220,'05,5,1,Closer,R,,1-3,4-8,9-14,15-17,18-,19-21,-,22-23,-,24+
Kent Mercker,Cubs,66,UL,170,'05,4,1,Reliever,L,,1-4,5-9,10-14,15-16,17-18,19-22,-,23-25,-,26+
**Todd Walker,Cubs,41,UL,140,'05,10,10,2B+1,L,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
**Carlos Zambrano,Cubs,64,UL,130,'05,3,7,Starter,R,,1-2,3-7,8-14,15-16,17-,18-19,-,20-25,-,26+
**Jerry Hairston Jr.,Cubs,143,UL,110,'05,11,13,LF-RF+2,R,,,1-,2-3,4-6,7-10,11-17,18-,19-20,-,21+
Kyle Farnsworth,Cubs,60,UL,100,'05,2,1,Reliever,R,,1-2,3-9,10-14,15-17,18-,19-21,-,22-23,-,24+
**Henry Blanco,Cubs,25,UL,10,'05,9,10,C+8,R,,,1-2,3-5,6-9,10-11,12-16,-,17-19,-,20+
**Neifi Perez,Cubs,36,UL,10,'05,9,10,SS+2,S,,,1-,2-4,5-6,7-9,10-18,-,19-20,-,21+
Carl Crawford,Devil Rays,322,UL,360,'05,10,24,LF-RF+2,L,SB,,1-,2-4,5-6,7-8,9-13,14-16,17-18,19-,20+
Aubrey Huff,Devil Rays,326,UL,340,'05,10,11,3B+1,L,,,1-,2-4,5-6,7-9,10-16,-,17-18,-,19+
Tino Martinez,Devil Rays,328,UL,260,'05,10,10,1B+0,L,,,1-,2-3,4-5,6-10,11-16,-,17-18,-,19+
Rocco Baldelli,Devil Rays,320,UL,190,'05,9,16,CF+3,R,,,1-,2-4,5-6,7-8,9-15,16-17,18-19,-,20+
Travis Harper,Devil Rays,325,UL,190,'05,4,2,Reliever,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+
Dewon Brazelton,Devil Rays,321,UL,160,'05,2,5,Starter,R,R,1-2,3-5,6-11,12-16,17-,18-19,-,20-24,-,25+
**Mark Hendrickson,Devil Rays,80,UL,150,'05,2,6,Starter,L,,1-2,3-5,6-13,14-17,18-,19-22,-,23-24,-,25+
Lance Carter,Devil Rays,251,UL,150,'05,4,1,Reliever,R,,1-4,5-6,7-11,12-16,17-,18-19,-,20-23,-,24+
Danys Baez,Devil Rays,319,UL,140,'05,3,1,Closer,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-25,-,26+
Julio Lugo,Devil Rays,327,UL,140,'05,10,18,SS+3,R,,,1-2,3-5,6-7,8-10,11-16,17-,18-20,-,21+
Jose Cruz,Devil Rays,323,UL,120,'05,9,13,LF-RF+1,S,,,1-2,3-4,5-6,7-11,12-16,17-,18-,19-,20+
**Josh Phelps,Devil Rays,2,UL,110,'05,9,10,1B+0,R,,,1-2,3-5,6-7,8-10,11-16,-,17-18,-,19+
Toby Hall,Devil Rays,324,UL,70,'05,9,8,C+7,R,,,1-,2-4,5-7,8-9,10-17,-,18-19,-,20+
Geoff Blum,Devil Rays,23,P,10,'05,9,10,IF+0,S,,,1-2,3-5,6-8,9-11,12-16,-,17-19,-,20+
**Hideo Nomo,Devil Rays,88,UL,10,'05,1,5,Starter,R,,1-3,4-6,7-10,11-15,16-,17-18,-,19-21,-,22+
Randy Johnson,Diamondbacks,18,UL,600,'05,6,8,Starter,L,K,1-2,3-9,10-13,14-16,17-,18-20,-,21-25,-,26+
**Shawn Green,Diamondbacks,148,UL,370,'05,11,13,"1B+1, LF-RF+1",L,,,1-2,3-5,6-,7-10,11-16,-,17-18,-,19+
Shea Hillenbrand,Diamondbacks,17,UL,340,'05,11,10,1B+1,R,,,1-,2-4,5-6,7-8,9-16,-,17-19,-,20+
Scott Hairston,Diamondbacks,16,UL,290,'05,9,12,2B+2,R,R,,1-2,3-,4-5,6-8,9-15,-,16-17,18-,19+
**Troy Glaus,Diamondbacks,18,UL,270,'05,10,10,3B+0,R,,,1-2,3-4,5-6,7-11,12-15,-,16-17,-,18+
Danny Bautista,Diamondbacks,13,UL,260,'05,10,12,LF-RF+1,R,,,1-,2-3,4-5,6-8,9-17,-,18-19,-,20+
**Royce Clayton,Diamondbacks,55,UL,240,'05,10,12,SS+2,R,,,1-2,3-5,6-,7-9,10-15,16-17,18-19,-,20+
Chad Tracy,Diamondbacks,20,UL,230,'05,10,10,3B+3,L,R,,1-,2-3,4-6,7-9,10-16,-,17-19,-,20+
Brandon Webb,Diamondbacks,21,UL,200,'05,2,6,Starter,R,,,1-4,5-13,14-15,16-17,18-19,-,20-25,-,26+
**Tony Clark,Diamondbacks,162,UL,200,'05,9,10,1B+0,S,,,1-3,4-5,6-,7-10,11-15,-,16-17,-,18+
Mike Koplove,Diamondbacks,19,UL,120,'05,2,1,Reliever,R,,1-3,4-7,8-15,16-17,18-,19-22,-,23-25,-,26+
Luis Gonzalez,Diamondbacks,15,UL,90,'05,11,10,LF-RF+0,L,,,1-,2-4,5-7,8-13,14-17,-,18-19,-,20+
Alex Cintron,Diamondbacks,14,UL,60,'05,9,14,SS+2,S,,,1-,2-4,5-7,8-9,10-17,-,18-19,20-,21+
**Craig Counsell,Diamondbacks,78,UL,30,'05,9,15,IF+1,L,,,1-,2-4,5-6,7-11,12-17,18-,19-20,-,21+
**Russ Ortiz,Diamondbacks,91,UL,20,'05,1,6,Starter,R,,1-,2-5,6-11,12-16,17-,18-19,-,20-24,-,25+
**Quinton McCracken,Diamondbacks,6,UL,10,'05,9,10,LF-RF+0,S,,,1-,2-4,5-6,7-9,10-17,-,18-20,-,21+
**Shawn Estes,Diamondbacks,7,UL,10,'05,1,6,Starter,L,,1-,2-4,5-12,13-15,16-17,18-19,-,20-23,-,24+
Adrian Beltre,Dodgers,164,UL,660,'05,12,12,3B+2,R,HR S,,1-,2-4,5-7,8-9,10-15,-,16-17,-,18+
**J.D. Drew,Dodgers,26,UL,640,'05,14,13,LF-RF+1,L,,,1-2,3-4,5-6,7-12,13-15,16-17,18-,-,19+
**Jeff Kent,Dodgers,93,UL,480,'05,10,12,2B+3,R,,,1-,2-3,4-6,7-9,10-15,-,16-17,18-,19+
**Wilson Alvarez,Dodgers,37,UL,440,'05,4,5,Starter,L,,1-4,5-9,10-14,15-17,18-,19-22,-,23-24,-,25+
Jose Lima,Dodgers,171,UL,430,'05,4,7,Starter,R,,1-2,3-7,8-13,14-17,18-,19-20,-,21-24,-,25+
**Odalis Perez,Dodgers,110,UL,380,'05,4,6,Starter,L,,1-,2-5,6-13,14-17,18-,19-,-,20-23,-,24+
Eric Gagne,Dodgers,167,UL,310,'05,6,1,Closer,R,RP,1-,2-9,10-14,15-17,18-,19-22,-,23-25,-,26+
Jeff Weaver,Dodgers,172,UL,280,'05,3,6,Starter,R,,1-2,3-6,7-12,13-16,17-,18-19,-,20-25,-,26+
**Jose Valentin,Dodgers,131,UL,260,'05,9,12,SS+4,L,,,1-2,3-,4-6,7-11,12-15,-,16-17,-,18+
Shawn Green,Dodgers,168,UL,260,'05,10,11,"1B+0, LF-RF+1",L,,,1-2,3-5,6-,7-10,11-16,-,17-18,-,19+
Cesar Izturis,Dodgers,170,UL,190,'05,10,19,SS+4,S,G,,1-,2-4,5-6,7-9,10-16,17-18,19-,20-,21+
Milton Bradley,Dodgers,165,UL,180,'05,10,15,CF+1,S,,,1-2,3-4,5-6,7-10,11-16,17-,18-19,-,20+
**Ricky Ledee,Dodgers,156,UL,150,'05,9,10,CF+3,L,,,1-2,3-4,5-,6-11,12-16,-,17-18,-,19+
Kazuhisa Ishii,Dodgers,169,UL,150,'05,2,6,Starter,L,,1-,2-4,5-9,10-15,16-17,18-19,-,20-24,-,25+
**Jayson Werth,Dodgers,116,UL,130,'05,10,10,LF-RF+1,R,,,1-3,4-5,6-7,8-11,12-17,-,18-,-,19+
Hee-Seop Choi,Dodgers,166,UL,120,'05,11,9,1B+1,L,,,1-2,3-4,5-6,7-12,13-17,-,18-19,-,20+
**Elmer Dessens,Dodgers,67,UL,110,'05,2,5,Starter,R,,1-2,3-6,7-14,15-16,17-,18-19,-,20-23,-,24+
**Derek Lowe,Dodgers,129,UL,30,'05,1,6,Starter,R,,1-,2-4,5-13,14-16,17-,18-19,-,20-25,-,26+
Edwin Jackson,Dodgers,12,P,10,'05,1,5,Starter,R,,1-3,4-7,8-13,14-15,16-,17-18,-,19-20,-,21+
**Paul Bako,Dodgers,104,UL,10,'05,9,10,C+4,L,,,1-2,3-4,5-6,7-11,12-17,-,18-20,-,21+
Jason Schmidt,Giants,290,UL,580,'05,5,7,Starter,R,,1-2,3-8,9-14,15-17,18-,19-20,-,21-25,-,26+
