SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
196,1st,Richard Hidalgo,Astros,200,'00,7,B,LF-RF+1,R,-,-,1-,2-4,5-12,13-,14-,15-17,-,18-20
192,1st,Scott Elarton,Astros,440,'00,4,6,Starter,R,7-9,1-6,10-12,13-16,17-,18-19,-,20-,-,-
200,1st,Shane Reynolds,Astros,470,'00,3,07,Starter,R,7-8,1-6,9-14,15-17,-,18-19,-,20-,-,-
197,1st,Stan Javier,Astros,200,'00,8,A,LF-RF+1,S,-,-,1-4,5-,6-8,9-17,18-19,20-,-,-
190,1st,Tim Bogar,Astros,160,'00,7,B,SS+5,R,-,-,1-3,4-6,6-10,11-16,-,17-18,19-,20+
193,1st,Tony Eusebio,Astros,170,'00,8,C,C+7,R,-,1-2,3-5,-,6-9,10-18,-,19-,-,20+
100,1st,*Jason Isringhausen,Athletics,140,'00,3,1,Closer,R,5-6,1-4,7-11,12-16,17-18,19-,-,20-,-,-
101,1st,*Mike Magnante,Athletics,130,'00,4,1,Reliever,L,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
102,1st,*Olmedo Saenz,Athletics,320,'00,8,B,"3B+1, 1B+0",R,-,-,1-,2-3,4-9,10-14,-,15-17,-,18-20
98,1st,*Ramon Hernandez,Athletics,190,'00,7,C,C+5,R,-,-,1-2,3-4,5-8,9-16,-,17-,-,18-20
97,1st,*Rich Becker,Athletics,360,'00,7,B,OF+1,L,-,1-4,-,5-,6-13,14-17,18-,-,19-,20+
99,1st,*Tim Hudson,Athletics,480,'00,5,6,Starter,R,6-8,1-5,9-13,14-15,16-17,18-19,-,20-,-,-
319,1st,A. J. Hinch,Athletics,180,'00,5,A,C+5,R,-,-,1-,2-3,4-,5-11,12-14,-,-,15-20
316,1st,Ben Grieve,Athletics,320,'00,8,B,LF-RF+0,L,-,1-,2-3,4-,5-10,11-15,-,16-,-,17-20
316,FS,Ben Grieve,Athletics,320,'00,8,B,LF-RF,L,-,1-,2-3,4-,5-10,11-15,-,16-,-,17-20
317,1st,Buddy Groom,Athletics,120,'00,3,1,Reliever,L,5-6,1-4,7-13,14-16,17-,18-20,-,-,-,-
321,1st,Doug Jones,Athletics,120,'00,3,1,Reliever,R,5-6,1-4,7-12,13-17,-,18-19,-,20-,-,-
313,1st,Eric Chavez,Athletics,210,'00,7,C,3B+3,L,-,-,1-2,3-4,5-9,10-14,-,15-16,17-,18-20
318,1st,Gil Heredia,Athletics,440,'00,4,6,Starter,R,4-6,1-3,7-12,13-16,-,17-19,-,20-,-,-
315,1st,Jason Giambi,Athletics,460,'00,10,C,1B+0,L,-,1-,2-,3-4,5-10,11-15,-,16-17,-,18-20
315,HRH,Jason Giambi,Athletics,460,'00,10,C,1B,L,-,1-,2-,3-4,5-10,11-15,-,16-17,-,18-20
320,1st,John Jaha,Athletics,400,'00,10,C,DH,R,-,1-2,3-,4-,5-13,14-16,-,17-,-,18-20
312,1st,Kevin Appier,Athletics,340,'00,3,6,Starter,R,4-6,1-3,7-12,13-16,17-,18-19,-,20-,-,-
324,1st,Matt Stairs,Athletics,360,'00,8,B,LF-RF+0,L,-,1-,2-,3-4,5-11,12-14,-,15-,-,16-20
325,1st,Miguel Tejada,Athletics,220,'00,7,B,SS+2,R,-,-,1-3,4-5,6-10,11-13,14-,15-16,17-,18-20
322,1st,Omar Olivares,Athletics,340,'00,3,6,Starter,R,3-4,1-2,5-11,12-16,17-,18-19,-,20-,-,-
326,1st,Randy Velarde,Athletics,380,'00,9,A,2B+4,R,-,1-,2-3,4-,5-8,9-16,17-,18-,19-,20+
314,1st,Ryan Christenson,Athletics,70,'00,6,B,OF+1,R,-,1-,2-,3-4,5-13,14-17,18-,19-,-,20+
323,1st,Tony Phillips,Athletics,300,'00,8,B,"2B+2, OF+1",S,-,1-,2-,3-4,5-12,13-14,15-,16-17,18-,19-20
148,1st,*Alex Gonzalez,Blue Jays,170,'00,6,A,SS+3,R,-,1-,2-,3-,4-5,6-12,13-14,15-18,-,19-20
147,1st,*Brad Fullmer,Blue Jays,180,'00,6,B,DH,L,-,-,1-2,3-4,-,5-9,-,10-16,-,17-20
146,1st,*Chris Carpenter,Blue Jays,330,'00,3,6,Starter,R,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-
150,1st,*Raul Mondesi,Blue Jays,300,'00,7,A,LF-RF+1,R,-,1-2,3-,4-,5-9,10-11,12-13,14-15,16-,17-20
149,1st,*Roy Halladay,Blue Jays,400,'00,4,07,Starter,R,4-6,1-3,7-11,12-15,16-17,18-19,-,20-,-,-
145,1st,*Tony Batista,Blue Jays,300,'00,7,B,3B+1,R,-,-,-,1-4,5-6,7-12,-,13-15,-,16-20
457,1st,Billy Koch,Blue Jays,170,'00,5,1,Closer,R,6-,1-5,7-12,13-15,16-17,18-19,-,20-,-,-
459,1st,Brian Mcrae,Blue Jays,160,'00,7,B,OF+1,S,-,1-,2-3,4-,5-13,14-17,-,18-,-,19-20
451,1st,Carlos Delgado,Blue Jays,410,'00,9,C,1B+0,L,-,1-2,-,3-5,6-11,12-14,-,15-16,-,17-20
451,DS,Carlos Delgado,Blue Jays,410,'00,9,C,1B,L,-,1-2,-,3-5,6-11,12-14,-,15-16,-,17-20
454,1st,Darrin Fletcher,Blue Jays,290,'00,8,C,C+5,L,-,-,1-,2-5,6-7,8-14,-,15-17,-,18-20
460,1st,David Segui,Blue Jays,250,'00,8,C,1B+0,S,-,-,1-2,3-5,6-7,8-15,-,16-17,18-,19-20
462,1st,David Wells,Blue Jays,490,'00,4,07,Starter,L,5-7,1-4,8-12,13-16,17-,18-19,-,20-,-,-
458,1st,Graeme Lloyd,Blue Jays,150,'00,6,1,Reliever,R,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
449,1st,Homer Bush,Blue Jays,290,'00,8,A,2B+2,R,-,1-,2-5,-,-,6-13,14-16,17-18,19-,20+
450,1st,Jose Cruz Jr.,Blue Jays,320,'00,8,A,OF+1,S,-,1-3,4-,5-,6-12,13-14,15-,16-17,18-,19-20
452,1st,Kelvim Escobar,Blue Jays,160,'00,0,6,Starter,R,5-7,1-4,8-13,14-18,19-,20-,-,-,-,-
456,1st,Pat Hentgen,Blue Jays,330,'00,3,6,Starter,R,4-6,1-3,7-11,12-16,17-,18-19,-,20-,-,-
461,1st,Shannon Stewart,Blue Jays,320,'00,9,A,LF-RF+1,R,-,-,1-4,5-,6-9,10-16,17-18,19-,-,20+
455,1st,Shawn Green,Blue Jays,540,'00,9,A,LF-RF+1,L,-,1-,2-3,4-,5-8,9-12,13-,14-16,-,17-20
448,1st,Tony Batista,Blue Jays,310,'00,7,B,SS+3,R,-,-,-,1-4,5-6,7-12,-,13-15,-,16-20
453,1st,Tony Fernandez,Blue Jays,390,'00,10,B,3B+1,S,-,-,1-3,4-,5-9,10-16,-,17-19,-,20+
12,1st,*Andres Galarraga,Braves,510,'00,9,B,1B+0,R,-,1-4,-,-,5-9,10-14,-,15-,-,16-20
13,1st,*Javy Lopez,Braves,370,'00,8,B,C+6,R,-,1-,2-3,4-,5-6,7-14,-,15-16,-,17-20
14,1st,*Kevin McGlinchy,Braves,100,'00,3,1,Reliever,R,7-9,1-6,10-12,13-16,17-,18-19,-,20-,-,-
16,1st,*Reggie Sanders,Braves,350,'00,8,A,LF-RF+1,R,-,1-2,3-,4-,5-10,11-13,14-15,16-,17-,18-20
15,1st,*Terry Mulholland,Braves,330,'00,4,6,Starter,L,4-5,1-3,6-12,13-15,-,16-19,-,20-,-,-
36,1st,Andruw Jones,Braves,390,'00,8,A,"CF+3, LF-RF+2",R,-,1-,2-,3-4,5-9,10-13,14-,15-16,17-,18-20
36,DS,Andruw Jones,Braves,390,'00,8,A,"CF+3, LF-RF+2",R,-,1-,2-,3-4,5-9,10-13,14-,15-16,17-,18-20
36,DS,Andruw Jones,Braves,390,'00,8,A,"CF+3, LF-RF+2",R,-,1-,2-,3-4,5-9,10-13,14-,15-16,17-,18-20
36,HRH,Andruw Jones,Braves,390,'00,8,A,"CF+3, LF-RF+2",R,-,1-,2-,3-4,5-9,10-13,14-,15-16,17-,18-20
32,1st,Bret Boone,Braves,190,'00,6,B,2B+2,R,-,-,1-,2-,3-5,6-11,12-,13-16,-,17-20
35,1st,Brian Hunter,Braves,220,'00,8,C,1B+1,R,-,1-,-,2-4,5-12,13-15,-,16-18,-,19-20
38,1st,Brian Jordan,Braves,300,'00,8,B,LF-RF+1,R,-,-,1-2,3-5,6-8,9-14,15-,16-,17-,18-20
37,1st,Chipper Jones,Braves,610,'00,10,A,3B+2,S,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
37,DS,Chipper Jones,Braves,610,'00,10,A,3B+2,S,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
37,HRH,Chipper Jones,Braves,610,'00,10,A,3B+2,S,-,1-,2-3,4-,5-11,12-14,15-,16-17,-,18-20
43,1st,Eddie Perez,Braves,110,'00,6,C,C+6,R,-,-,1-3,4-5,6-,7-15,-,16-18,-,19-20
48,1st,Gerald Williams,Braves,260,'00,7,A,"LF+2, RF+2",R,-,-,1-,2-3,4-7,8-13,14-15,16-17,-,18-20
41,1st,Greg Maddux,Braves,480,'00,5,07,Starter,R,5-7,1-4,8-13,14-15,-,16-19,-,20-,-,-
45,1st,John Rocker,Braves,200,'00,5,1,Closer,L,10-11,1-9,12-13,14-16,17-18,19-20,-,-,-,-
46,1st,John Smoltz,Braves,550,'00,6,6,Starter,R,6-7,1-5,8-12,13-15,16-,17-19,-,20-,-,-
34,1st,Jose Hernandez,Braves,230,'00,7,B,SS+3,R,-,1-2,3-,-,4-7,8-15,16-,17-,-,18-20
40,1st,Keith Lockhart,Braves,120,'00,7,B,2B+4,L,-,-,1-2,3-4,5-9,10-18,19-,-,20-,-
42,1st,Kevin Millwood,Braves,550,'00,3,07,Starter,R,7-9,1-6,10-13,14-18,-,19-,-,20-,-,-
44,1st,Mike Remlinger,Braves,170,'00,6,1,Reliever,L,7-8,1-6,9-12,13-15,16-17,18-20,-,-,-,-
39,1st,Ryan Klesko,Braves,410,'00,9,B,"LF-RF+0, 1B+0",L,-,1-,2-3,4-5,6-9,10-14,-,15-17,-,18-20
33,1st,Tom Glavine,Braves,450,'00,4,07,Starter,L,4-6,1-3,7-12,13-15,16-,17-20,-,-,-,-
47,1st,Walt Weiss,Braves,80,'00,6,B,SS+2,S,-,-,1-,2-,3-10,11-15,16-,17-18,19-20,-
78,1st,*Dave Weathers,Brewers,100,'00,4,1,Reliever,R,6-8,1-5,9-12,13-15,16-,17-19,-,20-,-,-
77,1st,*Jose Hernandez,Brewers,220,'00,7,B,3B+3,R,-,1-3,4-,-,5-8,9-15,16-,17-,-,18-20
76,1st,*Kevin Barker,Brewers,190,'00,7,B,1B+0,L,-,1-2,3-5,5-,6-9,10-15,-,16-17,-,18-20
244,1st,Alex Ochoa,Brewers,340,'00,10,B,LF-RF+1,R,-,-,1-3,4-5,6-11,12-16,17-,18-19,-,20+
246,1st,Bob Wickman,Brewers,150,'00,4,1,Closer,R,6-7,1-5,8-13,14-15,16-17,18-20,-,-,-,-
242,1st,David Nilsson,Brewers,450,'00,10,C,C+4,L,-,1-,2-,3-5,6-10,11-16,-,17-,-,18-20
238,1st,Geoff Jenkins,Brewers,360,'00,8,B,LF-RF+1,L,-,1-,2-,3-,4-5,6-11,-,12-16,17-,18-20
243,1st,Hideo Nomo,Brewers,330,'00,3,6,Starter,R,7-8,1-6,9-11,12-16,17-18,19-,-,20-,-,-
236,1st,Jeff Cirillo,Brewers,370,'00,10,B,3B+3,R,-,1-,2-3,4-5,6-9,10-17,-,18-19,-,20+
235,1st,Jeromy Burnitz,Brewers,470,'00,10,B,LF-RF+1,L,-,1-3,-,4-5,6-13,14-15,-,16-17,-,18-20
245,1st,Jose Valentin,Brewers,210,'00,7,B,SS+1,S,-,1-,-,2-4,5-13,14-16,-,-,17-,18-20
240,1st,Mark Loretta,Brewers,190,'00,8,B,"SS+1, 1B+1",R,-,-,1-2,3-4,5-8,9-17,-,18-19,20-,-
237,1st,Marquis Grissom,Brewers,260,'00,7,A,OF+1,R,-,1-,2-3,4-5,6-7,8-14,15-16,17-,-,18-20
241,1st,Mike Myers,Brewers,40,'00,0,1,Reliever,L,7-8,1-6,9-14,15-18,-,19-,-,-,-,20+
233,1st,Ron Belliard,Brewers,270,'00,9,B,2B+2,R,-,-,1-3,4-5,6-10,11-17,-,18-19,-,20+
233,FS,Ron Belliard,Brewers,270,'00,9,B,2B+2,R,-,-,1-3,4-5,6-10,11-17,-,18-19,-,20+
239,1st,Scott Karl,Brewers,220,'00,3,6,Starter,L,3-4,1-2,5-11,12-15,16-,17-19,-,20-,-,-
234,1st,Sean Berry,Brewers,30,'00,5,C,1B+0,R,-,-,1-,2-,3-5,6-17,-,18-19,-,20+
247,1st,Steve Woodard,Brewers,310,'00,3,6,Starter,R,5-7,1-4,8-12,13-16,-,17-19,-,20-,-,-
130,1st,*Darryl Kile,Cardinals,230,'00,3,6,Starter,R,5-,1-4,6-11,12-15,16-17,18-19,-,20-,-,-
132,1st,*Dave Veres,Cardinals,170,'00,5,1,Closer,R,6-7,1-5,8-11,12-15,16-17,18-20,-,-,-,-
131,1st,*Eli Marrero,Cardinals,100,'00,4,A,C+8,R,-,-,1-3,4-5,-,6-,7-13,14-15,-,16-20
133,1st,*Fernando Vina,Cardinals,400,'00,10,A,2B+4,L,-,-,1-3,4-,5-8,9-17,18-,19-20,-,-
128,1st,*Jim Edmonds,Cardinals,380,'00,9,B,OF+2,L,-,1-2,3-,4-,5-8,9-15,-,16-18,-,19-20
129,1st,*Pat Hentgen,Cardinals,170,'00,3,5,Starter,R,4-6,1-3,7-11,12-16,17-,18-19,-,-,-,20+
406,1st,Alberto Castillo,Cardinals,130,'00,7,C,C+10,R,-,1-,2-4,-,5-8,9-19,-,-,-,20+
405,1st,Darren Bragg,Cardinals,260,'00,9,B,OF+2,L,-,1-3,4-5,-,6-12,13-18,-,19-,-,20+
413,1st,Darren Oliver,Cardinals,380,'00,4,07,Starter,L,4-5,1-3,6-11,12-15,16-,17-19,-,20-,-,-
415,1st,Edgar Renteria,Cardinals,210,'00,7,A,SS+3,R,-,-,1-,2-3,4-7,8-13,14-16,17-19,-,20+
416,1st,Fernando Tatis,Cardinals,570,'00,10,A,3B+1,R,-,1-3,-,4-5,6-11,12-14,15-,16-17,-,18-20
407,1st,J. D. Drew,Cardinals,310,'00,8,A,OF+1,L,-,1-,2-,3-5,6-12,13-14,15-16,17-,18-,19-20
407,FS,J. D. Drew,Cardinals,310,'00,8,A,OF+1,L,-,1-,2-,3-5,6-12,13-14,15-16,17-,18-,19-20
410,1st,Joe Mcewing,Cardinals,190,'00,7,B,"2B+3, OF+1",R,-,1-,2-4,-,5-6,7-15,16-,17-18,19-,20+
408,1st,Jose Jimenez,Cardinals,180,'00,0,6,Starter,R,6-8,1-5,9-15,16-18,19-,20-,-,-,-,-
404,1st,Kent Bottenfield,Cardinals,140,'00,0,6,Starter,R,6-8,1-5,9-12,13-18,19-,20-,-,-,-,-
414,1st,Lance Painter,Cardinals,100,'00,3,1,Reliever,L,7-8,1-6,9-13,14-16,17-,18-19,-,20-,-,-
402,1st,Manny Aybar,Cardinals,100,'00,3,1,Reliever,R,6-7,1-5,8-11,12-16,17-,18-19,-,20-,-,-
412,1st,Mark Mcgwire,Cardinals,570,'00,10,C,1B+0,R,-,1-2,-,3-5,6-13,14-,-,15-,-,16-20
412,HRH,Mark Mcgwire,Cardinals,570,'00,10,C,1B,R,-,1-2,-,3-5,6-13,14-,-,15-,-,16-20
409,1st,Ray Lankford,Cardinals,410,'00,9,A,LF-RF+2,L,-,1-4,-,5-,6-9,10-14,15-,16-18,-,19-20
403,1st,Ricky Bottalico,Cardinals,70,'00,2,1,Closer,R,6-8,1-5,9-12,13-15,16-17,18-19,-,20-,-,-
411,1st,Willie Mcgee,Cardinals,50,'00,6,B,OF+0,S,-,1-2,3-5,-,-,6-18,19-20,-,-,-
30,1st,*Eric Young,Cubs,210,'00,8,A,2B+3,R,-,-,1-2,3-4,5-10,11-16,17-18,19-20,-,-
27,1st,*Glenallen Hill,Cubs,440,'00,5,B,LF-RF+1,R,-,1-2,3-,4-,5-6,7-12,13-,14-,-,15-20
25,1st,*Joe Girardi,Cubs,80,'00,5,B,C+5,R,-,-,1-2,-,-,3-9,10-,11-18,19-,20+
29,1st,*Kerry Wood,Cubs,520,'00,4,6,Starter,R,10-11,1-9,12-13,14-16,17-19,20-,-,-,-,-
28,1st,*Kevin Tapani,Cubs,260,'00,3,6,Starter,R,4-6,1-3,7-12,13-16,-,17-18,-,19-20,-,-
26,1st,*Ricky Gutierrez,Cubs,150,'00,8,B,SS+3,R,-,-,1-4,-,5-9,10-19,20-,-,-,-
93,1st,Benito Santiago,Cubs,140,'00,6,B,C+7,R,-,1-,2-,3-,4-6,7-15,-,16-17,18-,19-20
84,1st,Gary Gaetti,Cubs,100,'00,5,C,3B+3,R,-,-,1-3,4-5,6-9,10-15,-,-,-,16-20
91,1st,Henry Rodriguez,Cubs,390,'00,9,B,LF-RF+1,L,-,1-3,-,4-5,6-9,10-15,-,16-17,-,18-20
82,1st,Jeff Blauser,Cubs,320,'00,8,B,"2B-SS+2, 3B+1",R,-,1-3,4-,5-,6-12,13-16,-,-,17-,18-20
90,1st,Jeff Reed,Cubs,180,'00,9,C,C+4,L,-,1-2,3-4,5-,6-12,13-17,-,18-19,20-,-
87,1st,Jon Lieber,Cubs,420,'00,5,6,Starter,R,7-8,1-6,9-12,13-15,-,16-19,-,20-,-,-
89,1st,Jose Nieves,Cubs,70,'00,6,C,SS+0,R,-,-,1-2,3-4,5-,6-17,-,18-19,-,20+
83,1st,Kyle Farnsworth,Cubs,170,'00,4,6,Starter,R,4-6,1-3,7-10,11-15,16-,17-18,-,19-,-,20+
86,1st,Lance Johnson,Cubs,180,'00,7,A,OF+2,L,-,-,1-3,-,4-8,9-16,17-18,-,19-20,-
85,1st,Mark Grace,Cubs,300,'00,9,B,1B+0,L,-,-,1-2,3-4,5-9,10-15,-,16-18,19-,20+
85,DS,Mark Grace,Cubs,300,'00,9,B,1B,L,-,-,1-2,3-4,5-9,10-15,-,16-18,19-,20+
88,1st,Mickey Morandini,Cubs,110,'00,7,B,2B+3,L,-,-,1-3,4-5,6-10,11-17,18-,19-,20-,-
81,1st,Rick Aguilera,Cubs,170,'00,3,1,Closer,R,6-7,1-5,8-12,13-18,-,19-,-,20-,-,-
94,1st,Sammy Sosa,Cubs,480,'00,8,B,LF-RF+1,R,-,1-2,-,3-4,5-8,9-12,-,13-,-,14-20
94,HRH,Sammy Sosa,Cubs,480,'00,8,B,LF-RF+1,R,-,1-2,-,3-4,5-8,9-12,-,13-,-,14-20
92,1st,Scott Sanders,Cubs,70,'00,0,1,Reliever,R,7-8,1-6,9-13,14-18,19-,20-,-,-,-,-
95,1st,Steve Trachsel,Cubs,330,'00,3,6,Starter,R,6-7,1-5,8-12,13-16,17-,18-19,-,20-,-,-
139,1st,*Esteban Yan,Devil Rays,50,'00,2,1,Reliever,R,5-6,1-4,7-11,12-15,16-17,18-20,-,-,-,-
138,1st,*Gerald Williams,Devil Rays,260,'00,7,A,OF+1,R,-,1-,2-,3-5,6-8,9-13,14-,15-17,-,18-20
137,1st,*Greg Vaughn,Devil Rays,360,'00,7,A,LF-RF+2,R,-,1-2,-,3-,4-10,11-12,13-,14-,-,15-20
135,1st,*Juan Guzman,Devil Rays,40,'00,5,5,Starter,R,5-6,1-4,7-10,11-15,16-17,18-19,-,20-,-,-
136,1st,*Ryan Rupe,Devil Rays,460,'00,5,6,Starter,R,4-5,1-3,6-10,11-15,16-17,18-19,-,20-,-,-
134,1st,*Vinny Castilla,Devil Rays,170,'00,6,B,3B+2,R,-,-,1-2,3-4,5-6,7-15,-,16-,-,17-20
431,1st,Bobby Witt,Devil Rays,230,'00,3,6,Starter,R,5-,1-4,6-11,12-15,16-17,18-19,-,20-,-,-
428,1st,Bubba Trammell,Devil Rays,370,'00,9,C,LF-RF+1,R,-,-,1-,2-4,5-9,10-15,-,16-17,-,18-20
424,1st,Dave Martinez,Devil Rays,230,'00,8,B,"CF+0, LF-RF+1",L,-,1-,2-,3-4,5-8,9-16,17-,18-,19-,20+
425,1st,Fred Mcgriff,Devil Rays,430,'00,10,C,1B+0,L,-,1-2,3-4,5-,6-10,11-16,-,17-,-,18-20
422,1st,John Flaherty,Devil Rays,210,'00,7,C,C+8,R,-,-,1-2,3-5,-,6-16,-,17-,-,18-20
421,1st,Jose Canseco,Devil Rays,350,'00,8,B,DH,R,-,1-3,-,4-,5-10,11-14,-,15-,-,16-20
421,HRH,Jose Canseco,Devil Rays,350,'00,8,B,DH,R,-,1-3,-,4-,5-10,11-14,-,15-,-,16-20
427,1st,Kevin Stocker,Devil Rays,300,'00,9,A,SS+4,S,-,1-,2-3,4-5,6-9,10-18,19-,20-,-,-
420,1st,Miguel Cairo,Devil Rays,240,'00,8,A,2B+4,R,-,-,1-3,4-5,6-,7-16,17-18,19-,20-,-
426,1st,Paul Sorrento,Devil Rays,190,'00,8,C,LF-RF+0,L,-,1-4,-,-,5-13,14-17,-,18-,-,19-20
430,1st,Randy Winn,Devil Rays,140,'00,6,A,OF+1,S,-,1-,2-3,-,-,4-13,14-15,16-18,19-20,-
429,1st,Rick White,Devil Rays,230,'00,4,2,Reliever,R,5-6,1-4,7-12,13-15,16-,17-19,-,20-,-,-
423,1st,Roberto Hernandez,Devil Rays,180,'00,5,1,Closer,R,6-7,1-5,8-12,13-15,16-17,18-20,-,-,-,-
418,1st,Rolando Arrojo,Devil Rays,170,'00,0,6,Starter,R,6-8,1-5,9-14,15-18,19-,20-,-,-,-,-
419,1st,Wade Boggs,Devil Rays,220,'00,9,C,3B+1,L,-,-,1-4,5-,6-9,10-18,-,19-,-,20+
417,1st,Wilson Alvarez,Devil Rays,360,'00,3,6,Starter,L,5-6,1-4,7-12,13-16,17-18,19-,-,20-,-,-
8,1st,*Armando Reynoso,Diamondbacks,330,'00,4,6,Starter,R,4-5,1-3,6-10,11-15,16-,17-19,-,20-,-,-
6,1st,*Brian Anderson,Diamondbacks,420,'00,5,6,Starter,L,4-5,1-3,6-10,11-15,-,16-19,-,20-,-,-
7,FS,*Erubiel Durazo,Diamondbacks,510,'00,10,B,1B+0,L,-,1-4,-,-,5-8,9-16,-,17-,-,18-20
7,1st,*Erubiel Durazo,Diamondbacks,510,'00,10,B,1B+0,L,-,1-4,-,-,5-8,9-16,-,17-,-,18-20
9,1st,*Russ Springer,Diamondbacks,150,'00,5,1,Reliever,R,6-7,1-5,8-9,10-16,17-18,19-,-,20-,-,-
