SetNumber,Set,Name,Team,Pts,Yr,OB_C,Spd_IP,Pos,H,PU,SO,GB,FB,W,S,SPlus,DB,TR,HR
348,UL,Darrin Fletcher,Blue Jays,20,'02,7,09,C+6,L,-,-,1-2,3-5,6-7,8-16,-,17-18,-,19+
349,UL,Brad Fullmer,Blue Jays,140,'02,10,14,---,L,-,1-,2-3,4-7,8-9,10-16,-,17-18,-,19+
350,UL,Alex S. Gonzalez,Blue Jays,240,'02,9,18,SS+4,R,-,1-3,4-6,-,7-9,10-16,17-,18-,19-,20+
351,UL,Billy Koch,Blue Jays,40,'02,3,1,Closer,R,1-3,4-7,8-13,14-16,17-18,19-23,-,-,-,24+
352,UL,Esteban Loaiza,Blue Jays,150,'02,3,6,Starter,R,1-3,4-6,7-12,13-16,-,17-19,-,20-,-,21+
353,UL,Raul Mondesi,Blue Jays,210,'02,10,19,LF-RF+1,R,-,1-3,4-,5-6,7-12,13-16,17-,18-,-,19+
354,UL,Paul Quantrill,Blue Jays,110,'02,5,1,Reliever,R,1-2,3-6,7-14,15-16,-,17-19,-,20-26,-,27+
355,UL,Shannon Stewart,Blue Jays,240,'02,11,19,LF-RF+0,R,-,-,1-4,5-6,7-9,10-16,17-,18-19,20-21,22+
356,UL,Vernon Wells,Blue Jays,180,'02,10,16,OF+1,R,-,1-,2-4,5-7,8-9,10-16,-,17-19,-,20+
12,UL,**Gary Sheffield,Braves,420,'02,12,15,LF-RF+1,R,-,1-,2-3,4-6,7-11,12-16,-,17-,-,18+
17,UL,**Vinny Castilla,Braves,200,'02,9,11,3B+2,R,-,1-2,3-6,7-,8-10,11-14,-,15-16,-,17+
27,UL,Marcus Giles,Braves,210,'02,10,16,2B+2,R,-,-,1-4,5-6,7-11,12-17,-,18-,-,19+
28,UL,Tom Glavine,Braves,260,'02,1,6,Starter,L,1-3,4-5,6-13,14-18,19-,20-23,-,-,-,24+
29,UL,Andruw Jones,Braves,260,'02,9,16,"CF+3, LF-RF+2",R,-,1-3,4-5,6-,7-10,11-15,16-,17-,-,18+
30,UL,Chipper Jones,Braves,550,'02,12,15,3B+1,S,-,1-,2-4,5-,6-9,10-15,-,16-17,-,18+
31,UL,Brian Jordan,Braves,200,'02,10,14,LF-RF+2,R,-,1-,2-4,5-6,7-8,9-16,-,17-18,-,19+
32,UL,Steve Karsay,Braves,230,'02,4,1,Reliever,R,1-,2-7,8-14,15-18,-,19-26,-,-,-,27+
33,UL,Javy Lopez,Braves,150,'02,10,11,C+5,R,-,1-2,3-6,7-,8-10,11-17,-,18-,-,19+
34,UL,Greg Maddux,Braves,560,'02,4,07,Starter,R,1-3,4-7,8-14,15-17,-,18-25,-,-,-,26+
35,UL,Jason Marquis,Braves,350,'02,1,07,Starter,R,1-3,4-7,8-14,15-19,20-23,-,-,-,-,24+
36,UL,Mike Remlinger,Braves,120,'02,2,1,Reliever,L,1-4,5-12,13-15,16-19,-,20-22,-,-,-,23+
36,ASG,Andruw Jones,Braves,340,'02,10,16,"CF+3, LF-RF+2",L,-,1-4,5-,6-,7-10,11-15,16-,17-,-,18+
37,UL,Rey Sanchez,Braves,190,'02,9,20,SS+5,R,-,-,1-7,-,-,8-17,18-,19-,20-26,27+
37,UL,**Rafael Furcal,Braves,120,'02,9,16,SS+3,S,-,1-,2-5,6-,7-9,10-16,17-18,19-24,-,25+
38,UL,B.J. Surhoff,Braves,150,'02,9,15,LF-RF+1,L,-,-,1-3,4-6,7-8,9-15,16-,17-19,-,20+
39,UL,*Marcus Giles,Braves,150,'02,10,12,2B+2,R,-,1-2,3-4,5-6,7-11,12-17,-,18-20,-,21+
46,ASG,John Smoltz,Braves,260,'02,4,1,Closer,R,1-2,3-8,9-14,15-18,-,19-,-,20-22,-,23+
66,UL,*B.J. Surhoff,Braves,210,'02,9,15,LF-RF+0,L,-,1-,2-3,4-6,7-8,9-14,15-,16-19,-,20+
73,UL,*Mike Remlinger,Braves,160,'02,3,1,Reliever,L,1-4,5-10,11-16,17-18,19-,20-25,-,-,-,26+
99,SS,*Ron Gant '93,Braves,550,'02,12,21,LF-RF+1,R,-,1-5,6-,7-,8-12,13-15,-,16-18,19-,20+
100,SS,*Tom Glavine '91,Braves,490,'02,2,07,Starter,L,1-4,5-10,11-15,16-19,-,20-25,-,-,-,26+
105,SS,*Chipper Jones '98,Braves,500,'02,13,15,3B+2,S,-,1-3,4-5,6-,7-12,13-14,15-,16-17,18-,19+
109,SS,*John Smoltz '96,Braves,420,'02,4,07,Starter,R,1-3,4-10,11-14,15-17,-,18-19,-,20-24,-,25+
135,UL,**Kevin Millwood,Braves,190,'02,2,6,Starter,R,1-4,5-8,9-13,14-18,-,19-,-,-,-,20+
140,UL,**Tim Spooneybarger,Braves,160,'02,5,1,Reliever,R,1-3,4-7,8-12,13-16,17-,18-28,-,-,-,29+
150,UL,**John Smoltz,Braves,160,'02,5,1,Reliever,R,1-2,3-8,9-14,15-17,-,18-19,-,20-22,-,23+
21,UL,**Eric Young,Brewers,170,'02,10,19,2B+2,R,-,-,1-4,5-6,7-10,11-16,17-,18-25,-,26+
34,UL,*Geoff Jenkins,Brewers,80,'02,8,14,LF-RF+2,L,-,1-6,-,7-,8-10,11-16,-,17-18,-,19+
35,ASG,Jose Hernandez,Brewers,320,'02,10,14,SS+2,R,-,1-6,-,-,7-9,10-15,-,16-17,-,18+
46,UL,**Lenny Harris,Brewers,10,'02,8,17,---,L,-,-,1-8,-,9-10,11-18,19-,20-27,-,28+
62,UL,*Jose Hernandez,Brewers,300,'02,10,14,SS+3,R,-,1-6,-,-,7-9,10-15,-,16-17,-,18+
72,UL,**Alex Ochoa,Brewers,170,'02,10,19,LF-RF+1,R,-,1-,2-5,6-7,8-10,11-16,17-,18-19,20-23,24+
84,UL,**Matt Stairs,Brewers,230,'02,11,11,1B+1,L,-,1-3,4-5,6-7,8-12,13-16,-,17-18,-,19+
88,UL,*Jeffrey Hammonds,Brewers,180,'02,10,14,LF-RF+1,R,-,1-4,5-6,7-,8-12,13-16,-,17-19,-,20+
96,UL,**Jamey Wright,Brewers,70,'02,3,6,Starter,R,1-3,4-6,7-13,14-15,16-17,18-19,-,20-21,-,22+
106,UL,**Ruben Quevedo,Brewers,290,'02,5,6,Starter,R,1-5,6-9,10-11,12-15,16-17,18-19,-,20-22,-,23+
110,UL,**Curtis Leskanic,Brewers,50,'02,3,1,Reliever,R,1-3,4-9,10-14,15-17,18-,19-,-,20-22,-,23+
131,UL,**Glendon Rusch,Brewers,150,'02,4,5,Starter,L,1-3,4-7,8-10,11-15,-,16-19,-,20-,-,21+
177,UL,Ronnie Belliard,Brewers,230,'02,10,17,2B+3,R,-,1-2,3-6,7-,8-11,12-15,-,16-18,19-,20+
178,UL,Henry Blanco,Brewers,100,'02,8,16,C+8,R,-,1-4,-,5-7,8-12,13-16,-,17-19,20-21,22+
179,UL,Jeromy Burnitz,Brewers,220,'02,10,13,LF-RF+1,L,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
180,UL,Mike DeJean,Brewers,110,'02,3,1,Reliever,R,1-3,4-8,9-14,15-17,18-19,20-26,-,-,-,27+
181,UL,Chad Fox,Brewers,240,'02,5,1,Reliever,R,1-3,4-10,11-14,15-17,18-19,20-24,-,-,-,25+
182,UL,Jose Hernandez,Brewers,160,'02,8,14,SS+3,R,-,1-6,-,-,7-8,9-15,-,16-17,-,18+
183,UL,Geoff Jenkins,Brewers,220,'02,10,14,LF-RF+2,L,-,1-6,-,7-,8-10,11-15,-,16-17,-,18+
184,UL,Mark Loretta,Brewers,100,'02,11,13,"2B+1, 3B+1",R,-,-,1-4,5-7,8-10,11-19,-,20-25,-,26+
185,UL,Nick Neugebauer,Brewers,400,'02,5,5,Starter,R,1-2,3-7,8-11,12-15,16-18,19-25,-,-,-,26+
186,UL,Richie Sexson,Brewers,260,'02,10,13,1B+0,R,-,1-5,6-,-,7-10,11-15,-,16-,-,17+
187,UL,Ben Sheets,Brewers,160,'02,2,6,Starter,R,1-3,4-6,7-13,14-17,-,18-19,-,20-,-,21+
188,UL,Devon White,Brewers,240,'02,10,17,"CF+1, LF-RF+0",S,-,1-3,4-5,6-,7-10,11-15,16-,17-18,-,19+
34,UL,**Tino Martinez,Cardinals,170,'02,10,13,1B+0,L,-,1-,2-6,7-,8-9,10-16,-,17-,-,18+
53,UL,*Placido Polanco,Cardinals,210,'02,10,18,"2B+1, 3B+3",R,-,-,1-5,6-,7-,8-17,18-,19-25,-,26+
77,UL,*Dave Veres,Cardinals,70,'02,3,1,Reliever,R,1-3,4-9,10-14,15-16,17-20,-,-,-,-,21+
115,UL,**Woody Williams,Cardinals,280,'02,3,6,Starter,R,1-4,5-8,9-13,14-17,-,18-19,-,20-,-,21+
132,UL,**Jason Isringhausen,Cardinals,260,'02,5,1,Closer,R,1-2,3-9,10-15,16-18,-,19-,-,20-24,-,25+
143,UL,**Rick Ankiel,Cardinals,180,'02,3,5,Starter,L,1-3,4-7,8-12,13-15,16-18,19-24,-,-,-,25+
308,UL,J.D. Drew,Cardinals,540,'02,12,20,LF-RF+1,L,-,1-2,3-4,5-,6-10,11-15,16-,17-,-,18+
309,UL,Jim Edmonds,Cardinals,360,'02,12,12,"CF+2, LF-RF+1",L,-,1-4,5-,6-,7-12,13-16,-,17-18,-,19+
310,UL,Dustin Hermanson,Cardinals,30,'02,2,6,Starter,R,1-4,5-7,8-13,14-17,18-,-,-,19-,-,20+
311,UL,Darryl Kile,Cardinals,320,'02,1,07,Starter,R,1-4,5-9,10-15,16-19,-,20-24,-,-,-,25+
312,UL,Steve Kline,Cardinals,230,'02,4,1,Reliever,L,1-4,5-8,9-15,16-18,19-,20-26,-,-,-,27+
313,UL,Mike Matheny,Cardinals,20,'02,7,10,C+8,R,-,1-,2-3,4-5,6-8,9-18,-,19-,-,20+
314,UL,Matt Morris,Cardinals,390,'02,2,6,Starter,R,1-3,4-8,9-15,16-18,-,19-26,-,-,-,27+
315,UL,Craig Paquette,Cardinals,160,'02,10,12,"LF-RF+1, 3B+1",R,-,1-2,3-5,6-7,8-9,10-16,-,17-18,-,19+
316,UL,Placido Polanco,Cardinals,240,'02,10,18,"SS+4, 3B+3",R,-,-,1-5,6-,7-,8-17,18-,19-25,-,26+
317,UL,Albert Pujols,Cardinals,410,'02,12,12,"3B+2, LF-RF+1",R,-,1-,2-4,5-6,7-10,11-15,-,16-18,-,19+
318,UL,Edgar Renteria,Cardinals,170,'02,9,18,SS+2,R,-,-,1-4,5-6,7-9,10-17,18-,19-,-,20+
319,UL,Bud Smith,Cardinals,400,'02,3,6,Starter,L,1-4,5-8,9-14,15-18,-,19-,-,20-,-,21+
320,UL,Dave Veres,Cardinals,10,'02,3,1,Reliever,R,1-3,4-9,10-15,16-17,18-19,-,-,-,-,20+
321,UL,Fernando Vina,Cardinals,230,'02,11,20,2B+3,L,-,-,1-4,5-7,8-9,10-17,18-,19-,20-23,24+
7,UL,**Moises Alou,Cubs,380,'02,12,13,LF-RF+1,R,-,-,1-4,5-6,7-9,10-16,-,17-,-,18+
15,UL,**Alex Gonzalez,Cubs,110,'02,9,12,SS+1,R,-,1-2,3-4,5-6,7-8,9-15,-,16-19,-,20+
47,ASG,Sammy Sosa,Cubs,660,'02,12,13,LF-RF+1,R,-,1-3,-,4-5,6-11,12-14,-,15-16,-,17+
62,UL,Delino DeShields,Cubs,170,'02,10,22,LF-RF+0,L,-,1-3,4-6,-,7-13,14-16,17-18,19-,20-23,24+
63,UL,Kyle Farnsworth,Cubs,160,'02,3,1,Reliever,R,1-3,4-11,12-14,15-18,19-,20-24,-,-,-,25+
63,UL,*Antonio Alfonseca,Cubs,130,'02,3,1,Closer,R,1-2,3-6,7-14,15-17,18-19,20-24,-,-,-,25+
64,UL,Jeff Fassero,Cubs,160,'02,5,1,Reliever,L,1-3,4-9,10-14,15-17,-,18-19,-,20-25,-,26+
65,UL,Ricky Gutierrez,Cubs,170,'02,11,15,SS+1,R,-,-,1-6,7-,8-10,11-18,-,19-,-,20+
66,UL,Todd Hundley,Cubs,40,'02,7,09,C+1,S,-,1-5,-,-,6-12,13-14,-,15-16,-,17+
67,UL,Jon Lieber,Cubs,420,'02,5,07,Starter,R,1-3,4-6,7-12,13-16,-,17-19,-,20-23,-,24+
68,UL,Fred McGriff,Cubs,240,'02,12,11,1B+0,L,-,1-3,4-6,7-,8-11,12-17,-,18-,-,19+
69,UL,Bill Mueller,Cubs,240,'02,12,13,3B+1,S,-,-,1-4,5-6,7-12,13-18,-,19-,-,20+
70,UL,Corey Patterson,Cubs,70,'02,8,18,"CF+1, LF-RF+0",L,-,1-2,3-5,6-7,8-10,11-17,-,18-19,-,20+
71,UL,Sammy Sosa,Cubs,580,'02,12,13,LF-RF+1,R,-,1-4,-,5-,6-10,11-14,-,15-16,-,17+
72,UL,Julian Tavarez,Cubs,220,'02,4,6,Starter,R,1-2,3-5,6-13,14-15,16-17,18-19,-,20-25,-,26+
73,UL,Kerry Wood,Cubs,430,'02,4,6,Starter,R,1-3,4-10,11-13,14-16,17-19,20-24,-,-,-,25+
74,UL,Eric Young,Cubs,180,'02,10,19,2B+2,R,-,-,1-4,5-6,7-9,10-16,17-,18-24,-,25+
82,UL,*Kerry Wood,Cubs,480,'02,5,6,Starter,R,1-2,3-10,11-13,14-15,16-19,20-22,-,-,-,23+
84,UL,*Corey Patterson,Cubs,80,'02,8,20,"CF+1, LF-RF+0",L,-,1-3,4-6,7-,8-10,11-16,17-,18-20,-,21+
88,UL,**Juan Cruz,Cubs,330,'02,3,5,Starter,R,1-3,4-7,8-13,14-16,17-18,19-24,-,-,-,25+
98,UL,**Jason Bere,Cubs,250,'02,1,6,Starter,R,1-3,4-9,10-14,15-19,-,-,-,20-21,-,22+
111,UL,**Tom Gordon,Cubs,260,'02,4,1,Closer,R,1-2,3-11,12-15,16-18,19-,20-24,-,-,-,25+
113,SS,*Sammy Sosa '98,Cubs,610,'02,13,15,LF-RF+1,R,-,1-6,-,7-,8-12,13-15,-,16-,-,17+
25,UL,*Steve Cox,Devil Rays,170,'02,10,10,1B+0,L,-,1-4,5-6,7-,8-11,12-16,-,17-,-,18+
62,UL,**Chris Gomez,Devil Rays,140,'02,9,13,SS+2,R,-,-,1-4,5-7,8-9,10-16,-,17-18,-,19+
63,UL,**Randy Winn,Devil Rays,150,'02,10,18,LF-RF+1,S,-,1-2,3-6,7-,8-10,11-16,17-,18-19,20-24,25+
67,UL,**Toby Hall,Devil Rays,240,'02,9,13,C+7,R,-,-,1-3,4-6,-,7-15,-,16-19,-,20+
87,UL,**Jesus Colome,Devil Rays,130,'02,5,2,Reliever,R,1-3,4-6,7-13,14-16,17-18,19-,-,20-,-,21+
116,UL,**Victor Zambrano,Devil Rays,110,'02,3,1,Reliever,R,1-2,3-9,10-14,15-18,19-,-,-,20-23,-,24+
322,UL,Brent Abernathy,Devil Rays,170,'02,10,16,2B+4,R,-,-,1-4,5-7,8-10,11-18,-,19-22,-,23+
323,UL,Steve Cox,Devil Rays,120,'02,10,11,1B+0,L,-,1-3,4-7,-,8-11,12-16,-,17-18,-,19+
324,UL,Ben Grieve,Devil Rays,130,'02,11,14,LF-RF+1,L,-,1-4,5-6,-,7-12,13-18,-,19-21,-,22+
325,UL,Aubrey Huff,Devil Rays,80,'02,8,12,3B+2,L,-,1-,2-6,-,7-,8-16,-,17-19,-,20+
326,UL,Joe Kennedy,Devil Rays,220,'02,1,6,Starter,R,1-4,5-8,9-13,14-19,-,-,-,20-,-,21+
327,UL,Tanyon Sturtze,Devil Rays,190,'02,1,07,Starter,R,1-4,5-7,8-13,14-18,19-,20-22,-,-,-,23+
328,UL,Jason Tyner,Devil Rays,170,'02,9,23,"CF+2, LF-RF+1",L,-,-,1-5,6-,7-,8-17,18-19,-,20-26,27+
329,UL,Greg Vaughn,Devil Rays,160,'02,10,14,LF-RF+2,R,-,1-5,-,6-7,8-12,13-15,16-,17-18,-,19+
330,UL,Paul Wilson,Devil Rays,180,'02,1,6,Starter,R,1-4,5-9,10-14,15-18,19-,20-,-,-,-,21+
331,UL,Esteban Yan,Devil Rays,100,'02,5,1,Closer,R,1-2,3-8,9-13,14-16,-,17-19,-,20-22,-,23+
13,UL,Miguel Batista,Diamondbacks,450,'02,4,6,Starter,R,1-3,4-6,7-13,14-16,17-18,19-25,-,-,-,26+
14,UL,Jay Bell,Diamondbacks,180,'02,11,11,"2B+3, 3B+1",R,-,1-2,3-4,5-7,8-13,14-17,-,18-19,-,20+
15,UL,Craig Counsell,Diamondbacks,210,'02,11,16,"2B+5, SS+3",L,-,1-2,3-6,7-,8-12,13-19,-,20-24,-,25+
16,UL,David Delucci,Diamondbacks,220,'02,10,15,LF-RF+0,L,-,1-3,4-6,-,7-9,10-16,-,17-,18-,19+
17,UL,Erubiel Durazo,Diamondbacks,280,'02,11,10,1B+0,L,-,1-4,5-,6-,7-12,13-15,-,16-17,-,18+
18,UL,Steve Finley,Diamondbacks,180,'02,10,17,"CF+2, LF-RF+1",L,-,-,1-3,4-7,8-10,11-16,17-,18-19,-,20+
19,UL,Luis Gonzalez,Diamondbacks,600,'02,12,14,LF-RF+1,L,-,1-,2-3,4-5,6-10,11-14,-,15-16,-,17+
20,UL,Mark Grace,Diamondbacks,210,'02,12,12,1B+0,L,-,-,1-4,5-7,8-11,12-17,-,18-19,-,20+
